ChangeEventID,RawAPN,CanonicalAPN,CommodityShortName,Year,PreviousQuantity,NewQuantity,Quantity_Delta,ChangeSource,Rationale,EvidenceURL,RecordedBy,RecordedAt
14,014-241-07,014-241-007,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
15,014-242-08,014-242-008,SFRUU_or_MFRUU_TBD,2023,,,-2,qa_correction,Error - should remain as 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
16,014-242-08,014-242-008,SFRUU_or_MFRUU_TBD,2026,,,2,qa_correction,"2 units (house, guest house). ADU permit and allocation issued by EDC in 2024",,Ken,2026-05-04T07:57:36.418395+00:00
17,014-244-06,014-244-006,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
18,014-292-18,014-292-018,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
19,014-310-17,014-310-017,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Error - should remain as 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
20,014-310-17,014-310-017,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Unit(s) over reported. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
21,014-310-18,014-310-018,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
22,015-020-02,015-020-002,SFRUU_or_MFRUU_TBD,2023,,,3,qa_correction,Vacant parcel - zero out. County shows unit in error. CA Sugar Pine Point State Park,,Ken,2026-05-04T07:57:36.418395+00:00
23,015-020-02,015-020-002,SFRUU_or_MFRUU_TBD,2026,,,-3,qa_correction,Vacant parcel - zero out. County shows unit in error. CA Sugar Pine Point State Park,,Ken,2026-05-04T07:57:36.418395+00:00
24,015-032-21,015-032-021,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County Shows 3 units onsite,,Ken,2026-05-04T07:57:36.418395+00:00
25,015-032-22,015-032-022,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County Shows 0 units onsite,,Ken,2026-05-04T07:57:36.418395+00:00
26,015-032-23,015-032-023,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County Shows 2 units onsite,,Ken,2026-05-04T07:57:36.418395+00:00
27,015-032-26,015-032-026,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
28,015-032-27,015-032-027,SFRUU_or_MFRUU_TBD,2023,,,-2,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
29,015-032-29,015-032-029,SFRUU_or_MFRUU_TBD,2023,,,2,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
30,015-033-23,015-033-023,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County shows 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
31,015-034-12,015-034-012,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County Shows 2 units onsite,,Ken,2026-05-04T07:57:36.418395+00:00
32,015-034-19,015-034-019,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County Shows 2 units onsite,,Ken,2026-05-04T07:57:36.418395+00:00
33,015-061-10,015-061-010,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County Shows 3 units onsite,,Ken,2026-05-04T07:57:36.418395+00:00
34,015-062-13,015-062-013,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
35,015-063-20,015-063-020,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
36,015-064-01,015-064-001,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be 3 units,,Ken,2026-05-04T07:57:36.418395+00:00
37,015-064-01,015-064-001,SFRUU_or_MFRUU_TBD,2026,,,2,qa_correction,County Shows 3 units onsite,,Ken,2026-05-04T07:57:36.418395+00:00
38,015-064-16,015-064-016,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County Shows 2 units onsite,,Ken,2026-05-04T07:57:36.418395+00:00
39,015-065-03,015-065-003,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Corrected based on TRPA/County verification,,Ken,2026-05-04T07:57:36.418395+00:00
40,015-101-04,015-101-004,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,"TRPA verified 2 RUU, LCAP2021-0164",,Ken,2026-05-04T07:57:36.418395+00:00
41,015-104-20,015-104-020,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
42,015-153-07,015-153-007,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County shows 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
43,015-162-21,015-162-021,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
44,015-162-23,015-162-023,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,County Records show 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
45,015-201-18,015-201-018,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County shows 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
46,015-201-25,015-201-025,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
47,015-204-10,015-204-010,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County shows 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
48,015-211-21,015-211-021,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00
49,015-211-23,015-211-023,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
50,015-212-10,015-212-010,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00
51,015-213-24,015-213-024,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
52,015-213-26,015-213-026,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
53,015-254-24,015-254-024,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
54,015-254-24,015-254-024,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County Shows 2 units onsite,,Ken,2026-05-04T07:57:36.418395+00:00
55,015-254-30,015-254-030,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
56,015-261-37,015-261-037,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County shows 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
57,015-262-17,015-262-017,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 3 units,,Ken,2026-05-04T07:57:36.418395+00:00
58,015-263-12,015-263-012,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
59,015-263-12,015-263-012,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Unit not constructed until 2014,,Ken,2026-05-04T07:57:36.418395+00:00
60,015-264-17,015-264-017,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
61,015-264-17,015-264-017,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,Parcel number changed in 2014,,Ken,2026-05-04T07:57:36.418395+00:00
62,015-264-25,015-264-025,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
63,015-264-25,015-264-025,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Parcel number changed in 2014,,Ken,2026-05-04T07:57:36.418395+00:00
64,015-301-01,015-301-001,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
65,015-302-38,015-302-038,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
66,015-304-31,015-304-031,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
67,015-304-31,015-304-031,SFRUU_or_MFRUU_TBD,2026,,,2,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
68,015-304-34,015-304-034,SFRUU_or_MFRUU_TBD,2023,,,2,qa_correction,Error - Parcel number changed later,,Ken,2026-05-04T07:57:36.418395+00:00
69,015-304-34,015-304-034,SFRUU_or_MFRUU_TBD,2026,,,-2,qa_correction,Parcel number changed in 2015,,Ken,2026-05-04T07:57:36.418395+00:00
70,015-313-23,015-313-023,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 3 units,,Ken,2026-05-04T07:57:36.418395+00:00
71,015-313-30,015-313-030,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
72,015-314-22,015-314-022,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
73,015-314-25,015-314-025,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
74,015-315-08,015-315-008,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
75,015-315-16,015-315-016,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
76,015-322-12,015-322-012,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
77,015-322-27,015-322-027,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Vacant parcel - zero out.,,Ken,2026-05-04T07:57:36.418395+00:00
78,015-322-27,015-322-027,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Vacant parcel - zero out.,,Ken,2026-05-04T07:57:36.418395+00:00
79,015-322-28,015-322-028,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
80,015-331-11,015-331-011,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
81,015-340-17,015-340-017,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
82,015-352-02,015-352-002,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Vacant - zero out,,Ken,2026-05-04T07:57:36.418395+00:00
83,015-370-18,015-370-018,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,Site assessment #220673 shows 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
84,015-370-23,015-370-023,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be 1 unit - removed in 2019/reconstructed in 2022,,Ken,2026-05-04T07:57:36.418395+00:00
85,015-370-23,015-370-023,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
86,015-400-06,015-400-006,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00
87,015-400-07,015-400-007,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00
88,015-400-10,015-400-010,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00
89,016-051-03,016-051-003,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
90,016-051-52,016-051-052,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,"Error - should be 3 units, verified by TRPA (VBOU2020-1386)",,Ken,2026-05-04T07:57:36.418395+00:00
91,016-051-52,016-051-052,SFRUU_or_MFRUU_TBD,2026,,,2,qa_correction,3 units Verified by TRPA (VBOU2020-1386),,Ken,2026-05-04T07:57:36.418395+00:00
92,016-051-59,016-051-059,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
93,016-052-04,016-052-004,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
94,016-061-01,016-061-001,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
95,016-061-06,016-061-006,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,lcap2024-0297 verified 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
96,016-081-42,016-081-042,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
97,016-081-42,016-081-042,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 1 unit; APN later changed to 016-081-046,,Ken,2026-05-04T07:57:36.418395+00:00
98,016-081-43,016-081-043,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
99,016-081-43,016-081-043,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 1 unit; APN later changed to 016-081-045,,Ken,2026-05-04T07:57:36.418395+00:00
100,016-091-28,016-091-028,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Vacant - zero out,,Ken,2026-05-04T07:57:36.418395+00:00
101,016-091-42,016-091-042,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,"Error - should be 1 unit. Parcel later split into 016-091-50, -51, then merged again into 016-091-065. SFD was built in ~1950 and rebuilt in 2019",,Ken,2026-05-04T07:57:36.418395+00:00
102,016-091-42,016-091-042,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,"Error - should be 1 unit. Parcel later split into 016-091-50, -51, then merged again into 016-091-065. SFD was built in ~1950 and rebuilt in 2019",,Ken,2026-05-04T07:57:36.418395+00:00
103,016-101-03,016-101-003,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
104,016-101-14,016-101-014,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be 1 unit. Property includes 016-101-52; house is on 016-101-14. Parcel number later became 016-101-095. SFD was built in ~1961 and rebuilt in 2024,,Ken,2026-05-04T07:57:36.418395+00:00
105,016-101-14,016-101-014,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,Property includes 016-101-52; house is on 016-101-14. Parcel number later became 016-101-095. SFD was built in ~1961 and rebuilt in 2024,,Ken,2026-05-04T07:57:36.418395+00:00
106,016-101-77,016-101-077,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
107,016-101-91,016-101-091,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,Corrected based on TRPA/County verification,,Ken,2026-05-04T07:57:36.418395+00:00
108,016-101-94,016-101-094,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
109,016-131-01,016-131-001,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
110,016-131-05,016-131-005,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
111,016-142-05,016-142-005,SFRUU_or_MFRUU_TBD,2026,,,-3,qa_correction,2014 Site assessment shows 1 unit built in 1955. One guest house built in 1975 but no kitchen,,Ken,2026-05-04T07:57:36.418395+00:00
112,016-211-14,016-211-014,SFRUU_or_MFRUU_TBD,2023,,,-2,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
113,016-211-16,016-211-016,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
114,016-211-17,016-211-017,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
115,016-221-05,016-221-005,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
116,016-251-04,016-251-004,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
117,016-251-09,016-251-009,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
118,016-251-12,016-251-012,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
119,016-251-12,016-251-012,SFRUU_or_MFRUU_TBD,2026,,,2,qa_correction,County shows 3 units,,Ken,2026-05-04T07:57:36.418395+00:00
120,016-300-10,016-300-010,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
121,016-300-21,016-300-021,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
122,016-300-37,016-300-037,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
123,016-300-38,016-300-038,SFRUU_or_MFRUU_TBD,2026,,,3,qa_correction,20060858STD verified 4 units,,Ken,2026-05-04T07:57:36.418395+00:00
124,016-300-56,016-300-056,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
125,016-300-57,016-300-057,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - Should be 1.  Built in 1923,,Ken,2026-05-04T07:57:36.418395+00:00
126,016-300-57,016-300-057,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,016-300-57 became 016-300-64 (016-300-064),,Ken,2026-05-04T07:57:36.418395+00:00
127,016-300-60,016-300-060,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
128,016-300-63,016-300-063,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
129,016-332-24,016-332-024,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
130,016-332-42,016-332-042,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
131,016-410-01,016-410-001,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County shows 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
132,016-410-10,016-410-010,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Error - should be zero. Buildings are commercial not residential,,Ken,2026-05-04T07:57:36.418395+00:00
133,016-410-10,016-410-010,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Error - should be zero. Buildings are commercial not residential,,Ken,2026-05-04T07:57:36.418395+00:00
134,016-421-06,016-421-006,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
135,016-423-03,016-423-003,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
136,016-462-06,016-462-006,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
137,016-462-08,016-462-008,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
138,016-493-10,016-493-010,SFRUU_or_MFRUU_TBD,2026,,,5,qa_correction,County shows 6 units,,Ken,2026-05-04T07:57:36.418395+00:00
139,016-502-03,016-502-003,SFRUU_or_MFRUU_TBD,2026,,,2,qa_correction,County shows 3 units,,Ken,2026-05-04T07:57:36.418395+00:00
140,016-522-01,016-522-001,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
141,016-531-12,016-531-012,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Unit was built in 2013,,Ken,2026-05-04T07:57:36.418395+00:00
142,016-544-08,016-544-008,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00
143,016-544-16,016-544-016,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
144,016-544-20,016-544-020,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
145,016-582-05,016-582-005,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
146,016-583-18,016-583-018,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
147,016-583-19,016-583-019,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
148,017-021-01,017-021-001,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
149,017-021-06,017-021-006,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
150,017-021-08,017-021-008,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,LCAP2014-0206 verified 2 units,,Ken,2026-05-04T07:57:36.418395+00:00
151,017-021-15,017-021-015,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
152,017-021-16,017-021-016,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be 1. Residence was removed in 2016.,,Ken,2026-05-04T07:57:36.418395+00:00
153,017-021-16,017-021-016,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,"Residence was removed in 2016, was existing in 2012",,Ken,2026-05-04T07:57:36.418395+00:00
154,017-021-18,017-021-018,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be 1. Residence was removed in 2015,,Ken,2026-05-04T07:57:36.418395+00:00
155,017-021-18,017-021-018,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,"Parcels 017-021-18, -19 & -20 were combined to form 017-021-33 in 2015",,Ken,2026-05-04T07:57:36.418395+00:00
156,017-021-20,017-021-020,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be 1. Residence was removed in 2015,,Ken,2026-05-04T07:57:36.418395+00:00
