APN,2012 Final,2013 Final,2014 Final,2015 Final,2016 Final,2017 Final,2018 Final,2019 Final,2020 Final,2021 Final,2022 Final,2023 Final,2024 Final,2025 Final
014-292-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-301-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-301-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-301-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-301-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-301-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-301-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-301-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-301-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-302-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-302-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-302-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-302-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-302-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-302-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-302-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-302-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-302-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-302-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-303-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-303-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-303-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-303-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-303-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-303-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-303-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-303-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-303-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-303-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-303-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-303-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-303-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-304-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-304-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-304-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-304-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-310-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-310-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-310-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-310-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-310-18,2,2,2,2,2,2,2,2,2,2,2,2,2,2
014-321-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-321-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-321-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-321-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-321-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-321-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-321-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-321-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-03,2,2,2,2,2,2,2,2,2,2,2,2,2,2
014-322-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-322-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-323-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-323-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-323-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-324-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-324-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-324-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-324-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-324-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-331-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-331-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-331-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-331-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-331-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-331-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-331-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-331-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-332-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-332-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-332-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-332-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-332-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-332-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-332-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-332-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-332-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-332-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-332-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-341-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-341-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-341-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-341-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-341-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-342-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-342-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-342-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-342-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-342-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-342-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-343-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-343-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-343-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-343-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-351-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-351-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-351-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-351-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-351-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-351-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-351-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-351-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-352-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-352-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-352-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-031-03,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015-031-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-031-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-031-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-031-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-031-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-031-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-031-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-031-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-031-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-031-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-031-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-032-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-032-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-032-14,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015-032-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-032-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-032-21,3,3,3,3,3,3,3,3,3,3,3,3,3,3
015-032-23,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015-032-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-032-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-032-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-032-29,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015-033-06,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015-033-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-033-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-033-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-033-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-033-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-033-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-033-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-033-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-033-21,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015-033-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-033-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-033-25,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015-033-26,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015-033-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-034-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-034-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-034-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-034-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-034-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-034-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-034-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-034-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-034-12,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015-034-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-034-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-034-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015-034-19,2,2,2,2,2,2,2,2,2,2,2,2,2,2
