"APN","Record Type","DevelopmentRight","LandCapability","IPESScore","CumulativeBankedQuantity","RemainingBankedQuantity","Jurisdiction","LocalPlan","DateBankedOrApproved","HRA","LastUpdated","TransactionNumber","SendingParcel","ReceivingParcel","LandBank","TransactionApprovalDate"
"014-322-008","Allocation Receiving Parcel","Residential Allocation","IPES","808","1",,,,,,"10/16/2017","EDCCA-ALLOC-568",,,,"10/16/2017"
"014-352-005","Allocation Receiving Parcel","Residential Allocation","IPES","846","1",,,,,,"05/24/2021","EDCCA-ALLOC-1477",,,,
"015-031-007","Allocation Receiving Parcel","Residential Allocation","IPES","901","1",,,,,,"10/17/2017","EDCCA-ALLOC-573",,,,"10/17/2017"
"015-031-012","Allocation Receiving Parcel","Residential Allocation","IPES","915","1",,,,,,"05/13/2024","EDCCA-ALLOC-2542",,,,
"015-032-013","Allocation Receiving Parcel","Residential Allocation","IPES","900","1",,,,,,"12/16/2022","EDCCA-ALLOC-2077",,,,
"015-033-017","Allocation Receiving Parcel","Residential Allocation","IPES","868","1",,,,,,"08/27/2021","EDCCA-ALLOC-1322",,,,"07/13/2020"
"015-062-011","Allocation Receiving Parcel","Residential Allocation","IPES","766","1",,,,,,"10/18/2017","EDCCA-ALLOC-586",,,,"10/18/2017"
"015-062-018","Allocation Receiving Parcel","Residential Allocation","IPES","902","1",,,,,,"10/18/2017","EDCCA-ALLOC-590",,,,"10/18/2017"
"015-062-021","Allocation Receiving Parcel","Residential Allocation","IPES","878","1",,,,,,"10/09/2014","EDCCA-ALLOC-219",,,,"08/19/2014"
"015-101-014","Allocation Receiving Parcel","Residential Allocation","IPES","826","1",,,,,,"07/11/2022","EDCCA-ALLOC-2003",,,,
"015-101-017","Allocation Receiving Parcel","Residential Allocation","IPES","768","1",,,,,,"01/11/2021","EDCCA-ALLOC-1368",,,,"03/13/2013"
"015-102-006","Allocation Receiving Parcel","Residential Allocation","IPES","719","1",,,,,,"10/02/2015","EDCCA-ALLOC-270",,,,"10/02/2015"
"015-104-008","Allocation Receiving Parcel","Residential Allocation","IPES","780","1",,,,,,"05/15/2015","EDCCA-ALLOC-247",,,,"05/15/2015"
"015-104-017","Allocation Receiving Parcel","Residential Allocation","IPES","771","1",,,,,,"01/12/2021","EDCCA-ALLOC-1381",,,,"05/20/2013"
"015-104-020","Allocation Receiving Parcel","Residential Allocation","IPES","842","1",,,,,,"01/21/2021","EDCCA-ALLOC-1412",,,,"06/13/2018"
"015-104-021","Allocation Receiving Parcel","Residential Allocation","IPES","830","1",,,,,,"10/16/2017","EDCCA-ALLOC-565",,,,"10/16/2017"
"015-104-09","Allocation Receiving Parcel","Residential Allocation","IPES","788","1",,,,,,"10/29/2018","EDCCA-ALLOC-742",,,,"03/08/2018"
"015-152-006","Allocation Receiving Parcel","Residential Allocation","IPES","814","1",,,,,,"12/20/2024","EDCCA-ALLOC-2645",,,,
"015-152-010","Allocation Receiving Parcel","Residential Allocation","IPES","753","1",,,,,,"11/05/2019","EDCCA-ALLOC-938",,,,
"015-154-004","Allocation Receiving Parcel","Residential Allocation","IPES","797","1",,,,,,"01/12/2021","EDCCA-ALLOC-1377",,,,"06/11/2013"
"015-164-012","Allocation Receiving Parcel","Residential Allocation","IPES","827","1",,,,,,"08/15/2024","EDCCA-ALLOC-2605",,,,
"015-164-013","Allocation Receiving Parcel","Residential Allocation","IPES","767","1",,,,,,"03/30/2017","EDCCA-ALLOC-395",,,,"08/03/2016"
"015-201-025","Allocation Receiving Parcel","Residential Allocation","IPES","764","1",,,,,,"01/20/2021","EDCCA-ALLOC-1399",,,,"06/06/2018"
"015-202-001","Allocation Receiving Parcel","Residential Allocation","IPES","760","1",,,,,,"10/13/2020","EDCCA-ALLOC-1295",,,,"06/16/2020"
"015-213-016","Allocation Receiving Parcel","Residential Allocation","IPES","797","1",,,,,,"01/12/2021","EDCCA-ALLOC-1379",,,,"06/11/2013"
"015-213-25","Allocation Receiving Parcel","Residential Allocation","IPES","809","1",,,,,,"03/30/2017","EDCCA-ALLOC-396",,,,"08/03/2016"
"015-252-005","Allocation Receiving Parcel","Residential Allocation","IPES","771","1",,,,,,"11/23/2020","EDCCA-ALLOC-1309",,,,"06/17/2020"
"015-252-010","Allocation Receiving Parcel","Residential Allocation","IPES","788","1",,,,,,"01/24/2023","EDCCA-ALLOC-2090",,,,
"015-253-015","Allocation Receiving Parcel","Residential Allocation","IPES","796","1",,,,,,"12/03/2024","EDCCA-ALLOC-2633",,,,
"015-253-026","Allocation Receiving Parcel","Residential Allocation","IPES","781","1",,,,,,"02/08/2021","EDCCA-ALLOC-1437",,,,"06/17/2020"
"015-262-007","Allocation Receiving Parcel","Residential Allocation","IPES","796","1",,,,,,"04/25/2022","EDCCA-ALLOC-1972",,,,
"015-263-012","Allocation Receiving Parcel","Residential Allocation","IPES","771","1",,,,,,"01/20/2021","EDCCA-ALLOC-1389",,,,"01/29/2014"
"015-265-003","Allocation Receiving Parcel","Residential Allocation","IPES","781","1",,,,,,"10/17/2017","EDCCA-ALLOC-576",,,,"10/17/2017"
"015-304-013","Allocation Receiving Parcel","Residential Allocation","IPES","770","1",,,,,,"12/03/2024","EDCCA-ALLOC-2636",,,,
"015-304-033","Allocation Receiving Parcel","Residential Allocation","IPES","788","1",,,,,,"05/24/2021","EDCCA-ALLOC-1475",,,,
"015-311-011","Allocation Receiving Parcel","Residential Allocation","IPES","791","1",,,,,,"06/14/2021","EDCCA-ALLOC-1691",,,,
"015-311-017","Allocation Receiving Parcel","Residential Allocation","IPES","771","1",,,,,,"10/16/2017","EDCCA-ALLOC-563",,,,"10/16/2017"
"015-313-017","Allocation Receiving Parcel","Residential Allocation","IPES","785","1",,,,,,"12/21/2023","EDCCA-ALLOC-2354",,,,
"015-314-005","Allocation Receiving Parcel","Residential Allocation","IPES","775","1",,,,,,"10/15/2019","EDCCA-ALLOC-737",,,,"09/05/2018"
"015-314-022","Allocation Receiving Parcel","Residential Allocation","IPES","791","1",,,,,,"01/20/2021","EDCCA-ALLOC-1395",,,,"06/06/2018"
"015-315-002","Allocation Receiving Parcel","Residential Allocation","IPES","801","1",,,,,,"10/13/2017","EDCCA-ALLOC-556",,,,"10/13/2017"
"015-315-007","Allocation Receiving Parcel","Residential Allocation","IPES","822","1",,,,,,"01/20/2021","EDCCA-ALLOC-1391",,,,"01/14/2014"
"015-315-015","Allocation Receiving Parcel","Residential Allocation","IPES","825","1",,,,,,"03/07/2023","EDCCA-ALLOC-2125",,,,
"015-370-015","Allocation Receiving Parcel","Residential Allocation","IPES","848","1",,,,,,"10/09/2018","EDCCA-ALLOC-706",,,,"08/14/2018"
"015-370-020","Allocation Receiving Parcel","Residential Allocation","IPES","864","1",,,,,,"10/09/2014","EDCCA-ALLOC-210",,,,"08/18/2014"
"015-370-025","Allocation Receiving Parcel","Residential Allocation","IPES","848","1",,,,,,"03/29/2019","EDCCA-ALLOC-728",,,,"05/22/2018"
"015-370-22","Allocation Receiving Parcel","Residential Allocation","IPES","926","1",,,,,,"11/05/2019","EDCCA-ALLOC-941",,,,
"016-091-008","Allocation Receiving Parcel","Residential Allocation","IPES","736","1",,,,,,"09/20/2022","EDCCA-ALLOC-2025",,,,
"016-091-027","Allocation Receiving Parcel","Residential Allocation","IPES","785","1",,,,,,"10/02/2015","EDCCA-ALLOC-256",,,,"07/06/2015"
"016-101-031","Allocation Receiving Parcel","Residential Allocation","IPES","761","1",,,,,,"08/26/2021","TRPA-ALLOC-802",,,,"12/14/2020"
"016-131-007","Allocation Receiving Parcel","Residential Allocation","IPES","841","1",,,,,,"01/27/2017","EDCCA-ALLOC-494",,,,"01/27/2017"
"016-143-011","Allocation Receiving Parcel","Residential Allocation","IPES","844","1",,,,,,"01/21/2021","EDCCA-ALLOC-1410",,,,"06/13/2018"
"016-181-006","Allocation Receiving Parcel","Residential Allocation","IPES","823","1",,,,,,"02/06/2023","EDCCA-ALLOC-2115",,,,
"016-281-003","Allocation Receiving Parcel","Residential Allocation","IPES","690","1",,,,,,"10/17/2017","EDCCA-ALLOC-575",,,,"10/17/2017"
"016-313-010","Allocation Receiving Parcel","Residential Allocation","IPES","767","1",,,,,,"02/06/2023","EDCCA-ALLOC-2117",,,,
"016-313-015","Allocation Receiving Parcel","Residential Allocation","IPES","713","1",,,,,,"06/21/2024","EDCCA-ALLOC-2557",,,,
"016-382-014","Allocation Receiving Parcel","Residential Allocation","IPES","784","1",,,,,,"01/21/2021","EDCCA-ALLOC-1430",,,,"08/13/2012"
"016-382-016","Allocation Receiving Parcel","Residential Allocation","IPES","687","1",,,,,,"08/01/2023","EDCCA-ALLOC-2312",,,,
"016-432-016","Allocation Receiving Parcel","Residential Allocation","IPES","817","1",,,,,,"05/09/2022","EDCCA-ALLOC-1974",,,,
"016-483-005","Allocation Receiving Parcel","Residential Allocation","IPES","677","1",,,,,,"08/01/2023","EDCCA-ALLOC-2315",,,,
"016-513-012","Allocation Receiving Parcel","Residential Allocation","IPES","644","1",,,,,,"01/27/2017","EDCCA-ALLOC-450",,,,"01/27/2017"
"016-581-001","Allocation Receiving Parcel","Residential Allocation","IPES","779","1",,,,,,"07/15/2024","EDCCA-ALLOC-2575",,,,
"016-582-006","Allocation Receiving Parcel","Residential Allocation","IPES","723","1",,,,,,"10/02/2015","EDCCA-ALLOC-259",,,,"07/06/2015"
"017-021-032","Allocation Receiving Parcel","Residential Allocation","IPES","948","1",,,,,,"12/13/2017","EDCCA-ALLOC-139",,,,"05/27/2014"
"021-281-019","Allocation Receiving Parcel","Residential Allocation","IPES","607","1",,,,,,"01/21/2021","EDCCA-ALLOC-1411",,,,"06/13/2018"
"021-321-023","Allocation Receiving Parcel","Residential Allocation","IPES","685","1",,,,,,"01/20/2021","EDCCA-ALLOC-1392",,,,"06/06/2018"
"022-023-003","Allocation Receiving Parcel","Residential Allocation","IPES","817","1",,,,,,"04/08/2022","CSLT-ALLOC-1724",,,,
"022-051-086","Allocation Receiving Parcel","Residential Allocation","IPES","728","1",,,,,,"01/27/2017","CSLT-ALLOC-458",,,,"01/27/2017"
"022-141-003","Allocation Receiving Parcel","Residential Allocation","IPES","734","1",,,,,,"12/11/2023","CSLT-ALLOC-1359",,,,"05/19/2021"
"022-171-012","Allocation Receiving Parcel","Residential Allocation","IPES","442","1",,,,,,"10/09/2014","CSLT-ALLOC-198",,,,"08/12/2014"
"022-171-042","Allocation Receiving Parcel","Residential Allocation","IPES","590","1",,,,,,"12/11/2023","CSLT-ALLOC-1745",,,,"08/05/2022"
"022-171-060","Allocation Receiving Parcel","Residential Allocation","IPES","511","1",,,,,,"03/30/2017","CSLT-ALLOC-352",,,,"11/20/2015"
"022-182-45","Allocation Receiving Parcel","Residential Allocation","IPES","832","1",,,,,,"08/12/2019","CSLT-ALLOC-864",,,,
"022-192-013","Allocation Receiving Parcel","Residential Allocation","Bailey 6",,"1",,,,,,"05/14/2024","CSLT-ALLOC-2367",,,,
"022-200-014","Allocation Receiving Parcel","Residential Allocation","IPES","1037","1",,,,,,"12/22/2023","CSLT-ALLOC-1780",,,,"08/14/2021"
"022-221-016","Allocation Receiving Parcel","Residential Allocation","IPES","490","1",,,,,,"10/05/2015","CSLT-ALLOC-284",,,,"10/05/2015"
"022-321-024","Allocation Receiving Parcel","Residential Allocation","IPES","760","1",,,,,,"05/29/2018","CSLT-ALLOC-660",,,,"05/25/2018"
"023-101-002","Allocation Receiving Parcel","Residential Allocation","IPES","858","1",,,,,,"05/05/2023","CSLT-ALLOC-2261",,,,
"023-141-029","Allocation Receiving Parcel","Residential Allocation","IPES","776","1",,,,,,"01/28/2022","CSLT-ALLOC-1760",,,,
"023-151-030","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 5",,"1",,,,,,"06/11/2024","TRPA-ALLOC-2329",,,,
"023-152-006","Allocation Receiving Parcel","Residential Allocation","IPES","894","1",,,,,,"04/19/2021","CSLT-ALLOC-1353",,,,
"023-161-032","Allocation Receiving Parcel","Residential Allocation","IPES","979","1",,,,,,"01/10/2025","CSLT-ALLOC-2230",,,,"09/09/2024"
"023-181-038","Allocation Receiving Parcel","Commercial Floor Area (CFA)","Bailey 7",,"2520",,,,,,"01/10/2020","CSLT-ALLOC-1002",,,,
"023-181-043","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 7",,"1",,,,,,"12/08/2023","TRPA-ALLOC-811",,,,"01/03/2020"
"023-181-043","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 7",,"1",,,,,,"12/08/2023","TRPA-ALLOC-812",,,,"01/03/2020"
"023-181-043","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 7",,"1",,,,,,"06/11/2024","TRPA-ALLOC-833",,,,"01/03/2020"
"023-182-006","Allocation Receiving Parcel","Residential Allocation","Bailey 7",,"1",,,,,,"02/02/2017","CSLT-ALLOC-514",,,,"02/02/2017"
"023-182-006","Allocation Receiving Parcel","Residential Allocation","Bailey 7",,"1",,,,,,"02/02/2017","CSLT-ALLOC-515",,,,"02/02/2017"
"023-182-026","Allocation Receiving Parcel","Residential Allocation","IPES","965","1",,,,,,"03/23/2022","CSLT-ALLOC-1886",,,,
"023-182-026","Allocation Receiving Parcel","Residential Allocation","IPES","965","1",,,,,,"05/03/2023","CSLT-ALLOC-2234",,,,
"023-182-028","Allocation Receiving Parcel","Residential Allocation","Bailey 7",,"1",,,,,,"04/28/2021","CSLT-ALLOC-1459",,,,
"023-182-028","Allocation Receiving Parcel","Residential Allocation","Bailey 7",,"1",,,,,,"04/30/2021","CSLT-ALLOC-1463",,,,
"023-182-028","Allocation Receiving Parcel","Residential Allocation","Bailey 7",,"1",,,,,,"04/30/2021","CSLT-ALLOC-1464",,,,
"023-182-028","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 7",,"3",,,,,,"06/11/2024","TRPA-ALLOC-1696",,,,"05/24/2021"
"023-191-007","Allocation Receiving Parcel","Commercial Floor Area (CFA)","Bailey 7",,"6170",,,,,,"06/06/2024","CSLT-ALLOC-513",,,,"09/08/2016"
"023-191-007","Allocation Receiving Parcel","Commercial Floor Area (CFA)","Bailey 7",,"6025",,,,,,"06/06/2024","CSLT-ALLOC-2552",,,,
"023-211-022","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 7",,"21",,,,,,"07/30/2024","TRPA-ALLOC-2587",,,,
"023-211-022","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 7",,"1",,,,,,"07/30/2024","TRPA-ALLOC-2588",,,,
"023-231-003","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 7",,"70",,,,,,"06/11/2024","TRPA-ALLOC-1333",,,,"08/01/2023"
"023-241-042","Allocation Receiving Parcel","Commercial Floor Area (CFA)","Bailey 7",,"2800",,,,,,"11/08/2022","CSLT-ALLOC-1804",,,,"02/01/2022"
"023-241-042","Allocation Receiving Parcel","Residential Allocation","Bailey 7",,"1",,,,,,"01/19/2023","CSLT-ALLOC-1805",,,,
"023-251-030","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 7",,"23",,,,,,"07/30/2024","TRPA-ALLOC-2589",,,,
"023-251-030","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 7",,"2",,,,,,"07/30/2024","TRPA-ALLOC-2590",,,,
"023-271-010","Allocation Receiving Parcel","Residential Allocation","IPES","1021","1",,,,,,"02/13/2019","TRPA-ALLOC-803",,,,
"023-271-010","Allocation Receiving Parcel","Residential Allocation","IPES","1021","1",,,,,,"02/13/2019","TRPA-ALLOC-804",,,,
"023-271-010","Allocation Receiving Parcel","Residential Allocation","IPES","1021","1",,,,,,"07/24/2019","TRPA-ALLOC-805",,,,
"023-271-010","Allocation Receiving Parcel","Residential Allocation","IPES","1021","1",,,,,,"02/13/2019","TRPA-ALLOC-806",,,,
"023-271-010","Allocation Receiving Parcel","Residential Allocation","IPES","1021","1",,,,,,"02/13/2019","TRPA-ALLOC-807",,,,
"023-271-010","Allocation Receiving Parcel","Residential Allocation","IPES","1021","1",,,,,,"02/13/2019","TRPA-ALLOC-808",,,,
"023-271-010","Allocation Receiving Parcel","Residential Allocation","IPES","1021","1",,,,,,"02/13/2019","TRPA-ALLOC-809",,,,
"023-271-010","Allocation Receiving Parcel","Residential Allocation","IPES","1021","1",,,,,,"02/13/2019","TRPA-ALLOC-810",,,,
"023-391-008","Allocation Receiving Parcel","Commercial Floor Area (CFA)","Bailey 7",,"4025",,,,,,"02/05/2018","CSLT-ALLOC-511",,,,"05/12/2016"
"023-393-17","Allocation Receiving Parcel","Commercial Floor Area (CFA)","Bailey 7",,"4621",,,,,,"02/05/2018","CSLT-ALLOC-512",,,,"09/08/2016"
"023-441-010","Allocation Receiving Parcel","Residential Allocation","IPES","808","1",,,,,,"05/05/2023","CSLT-ALLOC-2246",,,,
"023-451-002","Allocation Receiving Parcel","Residential Allocation","IPES","894","1",,,,,,"10/09/2014","CSLT-ALLOC-202",,,,"08/29/2014"
"023-451-006","Allocation Receiving Parcel","Residential Allocation","IPES","887","1",,,,,,"05/29/2018","CSLT-ALLOC-654",,,,"05/25/2018"
"023-452-004","Allocation Receiving Parcel","Residential Allocation","IPES","885","1",,,,,,"08/27/2021","CSLT-ALLOC-974",,,,"08/16/2021"
"023-461-001","Allocation Receiving Parcel","Residential Allocation","Bailey 5",,"1",,,,,,"04/19/2019","CSLT-ALLOC-744",,,,"10/03/2018"
"023-471-011","Allocation Receiving Parcel","Residential Allocation","IPES","967","1",,,,,,"10/09/2014","CSLT-ALLOC-187",,,,"09/18/2013"
"023-491-013","Allocation Receiving Parcel","Residential Allocation","IPES","852","1",,,,,,"10/09/2014","CSLT-ALLOC-195",,,,"02/20/2014"
"023-502-018","Allocation Receiving Parcel","Residential Allocation","IPES","930","1",,,,,,"05/07/2020","CSLT-ALLOC-1076",,,,
"023-511-011","Allocation Receiving Parcel","Residential Allocation","IPES","984","1",,,,,,"07/20/2022","CSLT-ALLOC-1845",,,,
"023-541-002","Allocation Receiving Parcel","Residential Allocation","IPES","930","1",,,,,,"05/15/2015","CSLT-ALLOC-243",,,,"05/15/2015"
"023-542-001","Allocation Receiving Parcel","Residential Allocation","IPES","1001","1",,,,,,"03/08/2023","CSLT-ALLOC-1723",,,,"08/10/2021"
"023-542-009","Allocation Receiving Parcel","Residential Allocation","IPES","972","1",,,,,,"05/31/2018","CSLT-ALLOC-665",,,,"05/31/2018"
