Year,APN
2012,029-036-34
2012,029-036-35
2012,029-036-36
2012,029-036-37
2012,029-036-38
2012,029-036-40
2012,029-036-41
2012,029-041-37
2012,029-041-50
2012,029-051-03
2012,029-051-04
2012,029-051-17
2012,029-066-09
2012,029-066-18
2012,029-066-19
2012,029-066-20
2012,029-067-05
2012,029-067-06
2012,029-095-06
2012,029-095-19
2012,029-095-20
2012,029-095-21
2012,029-095-22
2012,029-101-12
2012,029-101-17
2012,029-104-01
2012,029-106-06
2012,029-362-04
2012,029-381-50
2012,029-401-04
2012,029-401-05
2012,029-413-20
2012,029-413-21
2012,029-450-01
2012,029-450-02
2012,029-450-03
2012,029-450-04
2012,029-450-05
2012,029-450-06
2012,029-450-07
2012,029-450-08
2012,029-450-09
2012,029-450-10
2012,029-450-11
2012,029-450-12
2012,029-450-13
2012,029-450-14
2012,029-450-15
2012,029-450-16
2012,029-450-17
2012,029-450-18
2012,029-450-19
2012,029-450-20
2012,029-450-21
2012,029-450-22
2012,029-450-23
2012,029-450-24
2012,029-450-25
2012,029-450-26
2012,029-450-27
2012,029-450-28
2012,029-450-29
2012,029-450-30
2012,029-450-31
2012,029-450-32
2012,029-450-33
2012,029-450-34
2012,029-450-35
2012,029-450-36
2012,029-450-37
2012,029-450-38
2012,029-450-39
2012,029-450-40
2012,029-450-41
2012,029-450-42
2012,029-450-43
2012,029-460-01
2012,029-460-02
2012,029-460-03
2012,029-460-04
2012,029-460-05
2012,029-460-06
2012,029-460-07
2012,029-460-08
2012,029-460-09
2012,029-460-10
2012,029-460-11
2012,029-460-12
2012,029-460-13
2012,029-460-14
2012,029-460-15
2012,029-460-16
2012,029-460-17
2012,029-460-18
2012,029-460-19
2012,029-460-20
2012,029-470-03
2012,029-470-06
2012,029-470-09
2012,030-421-01
2012,030-531-14
2012,030-581-11
2012,030-581-12
2012,030-590-03
2012,031-020-31
2012,031-020-32
2012,031-020-43
2012,031-044-01
2012,031-044-03
2012,031-053-09
2012,031-075-05
2012,031-075-16
2012,031-084-03
2012,031-084-15
2012,031-085-22
2012,031-092-06
2012,031-093-02
2012,031-093-20
2012,031-094-27
2012,031-144-17
2012,031-144-19
2012,031-165-21
2012,031-278-07
2012,031-278-08
2012,031-284-20
2012,031-284-26
2012,032-050-26
2012,032-050-40
2012,032-110-12
2012,032-141-06
2012,032-141-31
2012,032-171-09
2012,032-201-22
2012,032-211-06
2012,032-211-07
2012,032-211-17
2012,032-252-19
2012,032-252-20
2012,032-283-16
2012,032-283-17
2012,032-311-04
2012,032-311-07
2012,032-313-16
2012,032-313-17
2012,032-313-41
2012,032-314-13
2012,032-314-14
2012,032-321-17
2012,032-321-19
2012,032-322-10
2012,033-010-12
2012,033-050-14
2012,033-050-19
2012,033-251-17
2012,033-251-18
2012,033-255-06
2012,033-255-08
2012,033-574-02
2012,033-574-03
2012,033-631-21
2012,033-631-22
2012,033-852-05
2012,033-852-06
2012,033-882-02
2012,033-882-13
2012,033-884-11
2012,034-102-02
2012,034-121-32
2012,034-192-04
2012,034-192-05
2012,034-270-10
2012,034-270-16
2012,034-473-01
2012,034-473-03
2012,034-473-06
2012,034-473-07
2012,034-473-21
2012,034-513-23
2012,034-513-24
2012,034-591-01
2012,034-591-02
2012,034-722-04
2012,034-722-05
2012,034-734-23
2012,034-734-24
2012,035-010-02
2012,035-010-25
2012,035-183-13
2012,035-183-14
2012,035-211-21
2012,035-211-27
2012,035-234-09
2012,035-234-18
2012,035-296-14
2012,035-301-03
2012,035-301-04
2012,035-301-05
2012,036-350-08
2012,036-350-09
2012,036-380-08
2012,036-472-08
2012,036-530-07
2012,036-530-08
2012,036-530-09
2012,036-530-16
2012,036-543-11
2012,036-544-04
2012,036-544-05
2012,036-544-06
2012,036-554-09
2012,036-554-11
2012,048-041-03
2012,048-041-15
2012,048-041-20
2012,048-042-01
2012,048-042-02
2012,048-120-22
2012,055-010-07
2012,080-040-02
2012,080-104-13
2012,081-066-08
2012,081-141-21
2012,083-061-06
2012,083-061-09
2012,083-061-21
2012,083-061-52
2012,083-061-53
2012,083-061-54
2012,083-062-12
2012,083-062-29
2012,083-075-07
2012,083-081-11
2012,083-081-12
2012,083-081-13
2012,083-081-14
2012,083-081-15
2012,083-081-16
2012,083-081-17
2012,083-081-18
2012,083-081-19
2012,083-081-56
2012,083-081-57
2012,083-081-58
2012,083-081-59
2012,083-081-62
2012,083-081-63
2012,083-081-64
2012,083-081-66
2012,083-081-67
2012,083-081-68
2012,083-081-69
2012,083-081-70
2012,083-081-71
2012,083-081-72
2012,083-081-73
2012,083-081-77
2012,083-081-78
2012,083-081-79
2012,083-081-80
2012,083-081-82
2012,083-081-83
2012,083-081-84
2012,083-081-85
2012,083-081-86
2012,083-081-87
2012,083-081-88
2012,083-081-89
2012,083-081-92
2012,083-081-93
2012,083-081-94
2012,083-081-95
2012,083-104-13
2012,083-110-10
2012,083-162-10
2012,083-162-11
2012,083-162-24
2012,083-202-05
2012,083-202-06
2012,083-360-38
2012,083-360-39
2012,083-400-20
2012,083-400-21
2012,084-010-31
2012,084-060-03
2012,084-060-04
2012,084-092-34
2012,084-092-35
2012,084-110-04
2012,084-121-10
2012,084-121-11
2012,084-132-08
2012,084-132-11
2012,084-151-04
2012,084-151-17
2012,084-151-19
2012,085-050-14
2012,085-050-27
2012,085-081-14
2012,085-083-09
2012,085-083-10
2012,085-083-11
2012,085-093-02
2012,085-180-12
2012,085-180-14
2012,085-202-01
2012,085-202-02
2012,085-202-03
2012,085-202-04
2012,085-202-05
2012,085-202-06
2012,085-217-17
2012,085-217-18
2012,085-222-01
2012,085-222-02
2012,085-222-03
2012,085-222-04
2012,085-222-05
2012,085-222-06
2012,085-222-07
2012,085-242-11
2012,085-242-12
2012,085-242-13
2012,085-251-07
2012,085-251-16
2012,085-310-24
2012,085-310-27
2012,085-325-03
2012,090-010-11
2012,090-010-15
2012,090-030-17
2012,090-030-39
2012,090-030-40
2012,090-030-75
2012,090-041-10
2012,090-046-34
2012,090-046-38
2012,090-056-16
2012,090-056-17
2012,090-064-03
2012,090-064-08
2012,090-064-12
2012,090-064-13
2012,090-064-28
2012,090-064-31
2012,090-064-32
2012,090-065-12
2012,090-065-16
2012,090-065-17
2012,090-067-22
2012,090-067-23
2012,090-067-24
2012,090-071-01
2012,090-071-02
2012,090-071-25
2012,090-071-26
2012,090-071-29
2012,090-074-02
2012,090-074-09
2012,090-074-10
2012,090-074-18
2012,090-074-22
2012,090-075-09
2012,090-080-23
2012,090-091-31
2012,090-091-32
2012,090-093-15
2012,090-093-16
2012,090-093-17
2012,090-094-03
2012,090-094-18
2012,090-094-19
2012,090-094-20
2012,090-094-21
2012,090-122-28
2012,090-122-35
2012,090-122-36
2012,090-122-37
2012,090-123-01
2012,090-123-23
2012,090-124-07
2012,090-125-10
2012,090-133-10
2012,090-133-18
2012,090-134-01
2012,090-134-29
2012,090-134-30
2012,090-135-37
2012,090-141-24
2012,090-141-28
2012,090-142-12
2012,090-154-03
2012,090-163-09
2012,090-164-15
2012,090-164-17
2012,090-173-01
2012,090-174-13
2012,090-181-12
2012,090-181-87
2012,090-181-90
2012,090-181-91
2012,090-181-92
2012,090-182-10
2012,090-182-11
2012,090-191-13
2012,090-191-14
2012,090-192-25
2012,090-202-06
2012,090-202-07
2012,090-212-33
2012,090-212-34
2012,090-213-13
2012,090-213-14
2012,090-213-15
2012,090-213-16
2012,090-213-17
2012,090-213-18
2012,090-221-22
2012,090-221-23
2012,090-221-24
2012,090-222-07
2012,090-222-08
2012,090-222-13
2012,090-222-15
2012,090-222-16
2012,090-222-17
2012,090-222-18
2012,090-222-28
2012,090-222-29
2012,090-243-04
2012,090-243-05
2012,090-261-09
2012,090-261-22
2012,090-261-23
2012,090-261-26
2012,090-261-27
2012,090-261-28
2012,090-261-30
2012,090-263-04
2012,090-272-01
2012,090-272-02
2012,090-272-03
2012,090-315-01
2012,091-230-02
2012,091-230-03
2012,092-010-43
2012,092-010-44
2012,092-040-09
2012,092-040-10
2012,092-073-11
2012,092-073-16
2012,092-083-11
2012,092-085-17
2012,092-090-47
2012,092-090-52
2012,092-090-53
2012,092-090-57
2012,092-090-58
2012,092-100-25
2012,092-100-26
2012,092-110-01
2012,092-110-02
2012,092-110-43
2012,092-110-44
2012,092-110-45
2012,092-110-46
2012,092-110-47
2012,092-120-13
2012,092-120-44
2012,092-154-29
2012,092-160-20
2012,092-160-21
2012,092-190-53
2012,092-200-05
2012,093-020-22
2012,093-036-03
2012,093-036-04
2012,093-042-06
2012,093-042-07
2012,093-042-08
2012,093-042-09
2012,093-042-10
2012,093-042-13
2012,093-042-14
2012,093-042-15
2012,093-042-16
2012,093-043-02
2012,093-052-13
2012,093-060-20
2012,093-060-21
2012,093-160-76
2012,093-160-77
2012,093-160-78
2012,094-090-08
2012,094-090-09
2012,094-090-13
2012,094-090-14
2012,094-090-18
2012,094-090-19
2012,094-090-30
2012,094-090-31
2012,094-090-34
2012,094-090-40
2012,094-090-43
2012,094-110-07
2012,094-110-08
2012,094-122-04
2012,094-122-08
2012,094-122-28
2012,094-123-11
2012,094-123-12
2012,094-140-63
2012,094-160-14
2012,094-160-15
2012,094-171-07
2012,094-172-04
2012,094-180-19
2012,094-190-28
2012,094-190-29
2012,094-190-32
2012,094-225-02
2012,094-225-03
2012,094-233-05
2012,094-233-06
2012,094-540-13
2012,095-130-06
2012,095-140-13
2012,095-481-02
2012,095-481-03
2012,097-050-33
2012,097-050-35
2012,097-050-44
2012,097-050-46
2012,097-050-47
2012,097-050-48
2012,097-050-49
2012,097-050-52
2012,097-050-54
2012,097-050-56
2012,097-050-60
2012,097-050-61
2012,097-050-62
2012,097-050-63
2012,097-050-64
2012,097-050-65
2012,097-060-19
2012,097-060-21
2012,097-060-22
2012,097-060-25
2012,097-081-03
2012,097-082-12
2012,097-082-14
2012,097-083-02
2012,097-084-13
2012,097-084-14
2012,097-093-02
2012,097-100-16
2012,097-100-17
2012,097-100-40
2012,097-111-02
2012,097-111-19
2012,097-121-08
2012,097-122-02
2012,097-122-14
2012,097-122-15
2012,097-130-25
2012,097-130-27
2012,097-130-28
2012,097-130-29
2012,097-130-30
2012,097-181-04
2012,097-181-05
2012,097-193-09
2012,097-193-10
2012,098-010-34
2012,098-010-35
2012,098-052-04
2012,098-052-05
2012,098-161-01
2012,098-162-08
2012,098-163-09
2012,098-169-13
2012,098-171-01
2012,098-173-01
2012,098-174-10
2012,098-174-15
2012,098-175-01
2012,098-175-02
2012,098-200-18
2012,098-200-19
2012,098-210-07
2012,098-210-08
2012,098-210-15
2012,098-210-16
2012,098-330-06
2012,098-330-14
2012,110-050-23
2012,110-050-24
2012,110-060-08
2012,110-060-09
2012,110-060-13
2012,110-060-22
2012,110-060-35
2012,110-060-36
2012,110-060-38
2012,111-010-06
2012,111-010-08
2012,111-010-09
2012,111-010-10
2012,111-150-26
2012,111-150-27
2012,111-150-28
2012,111-150-29
2012,111-180-31
2012,112-010-13
2012,112-050-08
2012,112-050-12
2012,112-050-13
2012,112-060-03
2012,112-060-04
2012,112-060-05
2012,112-171-03
2012,112-171-04
2012,112-180-09
2012,112-180-10
2012,112-180-24
2012,112-180-38
2012,112-180-71
2012,112-190-38
2012,112-190-39
2012,112-190-40
2012,112-190-41
2012,112-220-28
2012,112-220-29
2012,112-220-30
2012,112-230-09
2012,112-230-10
2012,112-230-11
2012,112-260-14
2012,112-260-15
2012,112-900-01
2012,112-900-02
2012,112-900-03
2012,112-900-04
2012,112-900-05
2012,112-900-06
2012,112-900-07
2012,112-900-08
2012,112-900-09
2012,112-900-10
2012,112-900-11
2012,112-900-12
2012,112-900-13
2012,112-900-14
2012,112-900-15
2012,112-900-16
2012,112-900-17
2012,112-900-18
2012,112-900-19
2012,112-900-20
2012,112-900-21
2012,112-900-22
2012,112-900-23
2012,112-900-24
2012,112-900-25
2012,112-900-26
2012,112-900-27
2012,112-900-28
2012,112-900-29
2012,112-900-30
2012,112-900-31
2012,112-900-32
2012,112-900-33
2012,112-900-34
2012,112-900-35
2012,112-900-36
2012,112-900-37
2012,112-900-38
2012,112-900-39
2012,112-900-40
2012,112-900-41
2012,112-900-42
2012,112-900-43
2012,112-900-44
2012,112-900-45
2012,112-900-46
2012,112-900-47
2012,112-900-48
2012,112-900-49
2012,112-900-50
2012,112-900-51
2012,112-900-52
2012,112-900-53
2012,112-900-54
2012,112-900-55
2012,112-900-56
2012,112-900-57
2012,112-900-58
2012,112-900-59
2012,112-900-60
2012,112-900-61
2012,112-900-62
2012,115-010-30
2012,115-010-31
2012,115-020-15
2012,115-020-16
2012,115-030-34
2012,115-030-37
2012,115-030-38
2012,115-030-39
2012,115-030-63
2012,115-030-64
2012,115-030-74
2012,115-040-57
2012,115-040-58
2012,115-050-09
2012,115-050-10
2012,115-050-41
2012,115-070-07
2012,116-050-14
2012,116-050-43
2012,116-060-17
2012,116-150-01
2012,116-150-02
2012,116-150-03
2012,116-150-04
2012,116-150-05
2012,116-150-06
2012,116-150-07
2012,116-150-08
2012,116-150-09
2012,116-150-10
2012,116-150-11
2012,116-150-12
2012,116-150-13
2012,116-150-14
2012,116-150-15
2012,116-150-16
2012,116-150-17
2012,116-150-18
2012,116-150-19
2012,116-150-20
2012,116-150-21
2012,116-150-22
2012,116-150-23
2012,116-150-24
2012,116-150-25
2012,116-150-26
2012,116-150-27
2012,116-150-28
2012,116-150-29
2012,116-150-30
2012,116-150-31
2012,116-150-32
2012,116-150-33
2012,116-150-34
2012,116-150-35
2012,116-150-36
2012,116-160-01
2012,116-160-02
2012,116-160-03
2012,116-160-04
2012,116-160-05
2012,116-160-06
2012,116-160-07
2012,116-160-08
2012,116-160-09
2012,116-160-10
2012,116-160-11
2012,116-160-12
2012,116-160-13
2012,116-160-14
2012,116-160-15
2012,116-160-16
2012,116-160-17
2012,116-160-18
2012,116-160-19
2012,116-160-20
2012,116-160-21
2012,116-160-22
2012,116-160-23
2012,116-160-24
2012,116-160-25
2012,116-160-26
2012,116-160-27
2012,116-170-01
2012,116-170-02
2012,116-170-03
2012,116-170-04
2012,116-170-05
2012,116-170-06
2012,116-170-07
2012,116-170-08
2012,116-170-09
2012,116-170-10
2012,116-170-11
2012,116-170-12
2012,116-170-13
2012,116-170-14
2012,116-170-15
2012,116-170-16
2012,116-170-17
2012,116-170-24
2012,116-170-25
2012,116-170-26
2012,116-170-27
2012,116-170-28
2012,116-170-29
2012,116-170-30
2012,116-170-31
2012,116-170-32
2012,116-170-33
2012,116-170-34
2012,116-170-35
2012,116-170-36
2012,116-170-37
2012,116-170-38
2012,116-170-39
2012,116-170-40
2012,116-170-41
2012,116-170-42
2012,116-170-43
2012,116-170-44
2012,116-170-45
2012,116-170-46
2012,116-170-47
2012,116-170-48
2012,116-170-49
2012,116-170-50
2012,116-170-51
2012,116-170-52
2012,116-180-01
2012,116-180-02
2012,116-180-03
2012,116-180-04
2012,116-180-05
2012,116-180-06
2012,116-180-07
2012,116-180-08
2012,116-180-09
2012,116-180-10
2012,116-180-11
2012,116-180-12
2012,116-180-13
2012,116-180-14
2012,116-210-08
2012,116-210-09
2012,116-220-38
2012,116-220-56
2012,116-220-57
2012,117-010-04
2012,117-010-09
2012,117-010-11
2012,117-020-09
2012,117-020-12
2012,117-030-20
2012,117-030-21
2012,117-050-07
2012,117-050-09
2012,117-050-17
2012,117-060-02
2012,117-060-08
2012,117-071-25
2012,117-071-26
2012,117-071-39
2012,117-071-41
2012,117-072-18
2012,117-072-20
2012,117-072-21
2012,117-072-22
2012,117-080-68
2012,117-090-11
2012,117-090-45
2012,117-110-01
2012,117-110-02
2012,117-110-03
2012,117-110-04
2012,117-110-14
2012,117-110-57
2012,117-110-58
2012,117-130-38
2012,117-130-39
2012,117-130-68
2012,117-140-01
2012,117-140-02
2012,117-140-07
2012,117-150-14
2012,117-180-06
2012,117-180-07
2012,117-180-09
2012,117-180-13
2012,117-180-50
2012,117-190-20
2012,117-190-21
2012,117-190-25
2012,117-200-39
2012,122-080-01
2012,122-080-02
2012,122-080-03
2012,122-080-04
2012,122-080-05
2012,122-080-06
2012,122-080-07
2012,122-080-08
2012,122-080-09
2012,122-080-10
2012,122-080-11
2012,122-080-12
2012,122-080-13
2012,122-080-14
2012,122-080-15
2012,122-080-16
2012,122-080-17
2012,122-080-18
2012,122-080-19
2012,122-080-20
2012,122-080-21
2012,122-080-22
2012,122-080-23
2012,122-080-24
2012,122-080-25
2012,122-080-26
2012,122-080-27
2012,122-080-28
2012,122-080-29
2012,122-080-30
2012,122-080-31
2012,122-080-32
2012,122-080-33
2012,122-080-34
2012,122-080-35
2012,122-080-36
2012,122-080-37
2012,122-080-38
2012,122-080-39
2012,122-080-40
2012,122-080-41
2012,122-080-42
2012,122-080-43
2012,122-080-44
2012,122-090-33
2012,122-181-20
2012,122-181-21
2012,122-181-34
2012,122-181-35
2012,122-181-36
2012,122-181-37
2012,122-181-67
2012,122-181-68
2012,122-181-69
2012,122-530-27
2012,122-530-28
2012,123-021-01
2012,123-021-02
2012,123-021-03
2012,123-021-04
2012,123-021-05
2012,123-021-06
2012,123-021-07
2012,123-032-01
2012,123-032-02
2012,123-032-15
2012,123-033-04
2012,123-055-01
2012,123-071-24
2012,123-131-01
2012,123-133-10
2012,123-138-01
2012,123-141-01
2012,123-141-02
2012,123-141-03
2012,123-141-04
2012,123-141-05
2012,123-141-06
2012,123-141-07
2012,123-141-08
2012,123-141-09
2012,123-141-10
2012,123-141-11
2012,123-144-10
2012,123-145-02
2012,123-145-16
2012,123-145-17
2012,123-151-02
2012,123-151-03
2012,123-151-04
2012,123-151-05
2012,123-151-06
2012,123-151-07
2012,123-151-08
2012,123-152-06
2012,123-152-07
2012,123-161-02
2012,123-161-04
2012,123-161-29
2012,123-161-30
2012,123-166-01
2012,123-250-01
2012,123-250-02
2012,123-250-03
2012,123-250-04
2012,124-032-34
2012,124-032-35
2012,124-043-01
2012,124-043-02
2012,124-043-03
2012,124-043-04
2012,124-043-05
2012,124-043-06
2012,124-043-07
2012,124-043-08
2012,124-043-09
2012,124-043-10
2012,124-043-11
2012,124-043-12
2012,124-043-13
2012,124-043-14
2012,124-043-15
2012,124-043-16
2012,124-043-17
2012,124-043-18
2012,124-043-19
2012,124-043-21
2012,124-043-23
2012,124-043-24
2012,124-043-25
2012,124-043-26
2012,124-043-27
2012,124-043-60
2012,124-064-24
2012,124-064-25
2012,124-071-42
2012,124-083-26
2012,125-163-32
2012,125-163-33
2012,125-172-31
2012,125-172-32
2012,125-173-00
2012,125-174-00
2012,125-175-00
2012,125-211-01
2012,125-211-02
2012,125-231-01
2012,125-232-04
2012,125-232-05
2012,125-232-21
2012,125-244-20
2012,125-244-21
2012,125-251-05
2012,125-252-08
2012,125-471-07
2012,125-482-14
2012,125-482-15
2012,125-503-25
2012,125-503-26
2012,126-080-21
2012,126-081-10
2012,126-081-11
2012,126-082-08
2012,126-083-14
2012,126-251-24
2012,126-271-15
2012,126-271-16
2012,126-420-11
2012,126-430-10
2012,126-430-34
2012,126-480-08
2012,126-490-06
2012,126-520-20
2012,126-521-02
2012,126-521-03
2012,126-521-04
2012,126-521-11
2012,126-540-20
2012,126-550-07
2012,126-560-17
2012,126-560-19
2012,126-570-20
2012,126-570-31
2012,126-580-19
2012,126-580-20
2012,127-030-34
2012,127-030-36
2012,127-040-08
2012,128-243-02
2012,129-280-20
2012,129-380-01
2012,129-380-02
2012,129-380-03
2012,130-010-01
2012,130-010-03
2012,130-010-04
2012,130-230-06
2012,130-230-07
2012,130-241-30
2012,130-241-31
2012,130-241-32
2012,130-241-33
2012,130-241-52
2012,130-241-54
2012,130-241-55
2012,130-301-02
2012,130-301-03
2012,130-301-04
2012,130-301-05
2012,130-301-06
2012,130-301-07
2012,130-301-08
2012,130-301-09
2012,130-302-02
2012,130-302-03
2012,130-302-04
2012,130-302-05
2012,130-302-06
2012,130-302-07
2012,130-302-08
2012,130-302-09
2012,130-311-05
2012,130-311-10
2012,130-312-21
2012,130-312-22
2012,130-331-07
2012,130-332-01
2012,130-332-02
2012,130-332-04
2012,130-332-05
2012,130-400-03
2012,131-014-02
2012,131-211-01
2012,1318-09-810-004
2012,1318-09-810-005
2012,1318-09-810-006
2012,1318-09-810-007
2012,1318-09-810-024
2012,1318-09-810-027
2012,1318-10-310-016
2012,1318-10-310-025
2012,1318-10-412-003
2012,1318-10-412-011
2012,1318-10-413-009
2012,1318-10-413-010
2012,1318-15-101-001
2012,1318-15-101-002
2012,1318-15-101-003
2012,1318-15-210-007
2012,1318-15-601-002
2012,1318-15-711-028
2012,1318-15-711-029
2012,1318-15-804-003
2012,1318-15-804-004
2012,1318-16-710-014
2012,1318-16-810-006
2012,1318-16-810-007
2012,1318-22-002-003
2012,1318-22-002-005
2012,1318-23-401-002
2012,1318-23-401-004
2012,1318-23-401-024
2012,1318-23-401-025
2012,1318-23-401-035
2012,1318-24-301-001
2012,1318-24-301-002
2012,1318-24-401-009
2012,1318-26-102-003
2012,1318-27-001-008
2012,1318-27-001-012
2012,1319-00-002-027
2012,1319-06-001-004
2012,1319-06-001-005
2012,1319-06-001-006
2012,1319-18-312-024
2012,1319-18-312-025
2012,1319-18-401-001
2012,1319-18-410-013
2012,1319-19-201-001
2012,1319-19-212-011
2012,1319-19-212-014
2012,1319-19-702-001
2012,1319-19-710-010
2012,1319-19-710-011
2012,1319-19-710-023
2012,1319-19-710-024
2012,1319-19-718-010
2012,1319-19-718-021
2012,1319-19-720-026
2012,1319-19-720-027
2012,1319-19-720-029
2012,1319-19-720-035
2012,1319-19-802-007
2012,1319-19-810-006
2012,1319-19-810-007
2012,1319-30-512-006
2012,1319-30-512-009
2012,1319-30-512-012
2012,1319-30-512-014
2012,1319-30-514-002
2012,1319-30-514-008
2012,1319-30-514-009
2012,1319-30-514-011
2012,1319-30-514-012
2012,1319-30-514-015
2012,1319-30-514-021
2012,1319-30-514-022
2012,1319-30-515-003
2012,1319-30-515-004
2012,1319-30-516-040
2012,1319-30-516-041
2012,1319-30-522-003
2012,1319-30-532-001
2012,1319-30-610-002
2012,1319-30-611-005
2012,1319-30-611-006
2012,1319-30-611-007
2012,1319-30-611-008
2012,1319-30-612-001
2012,1319-30-612-002
2012,1319-30-612-003
2012,1319-30-612-004
2012,1319-30-612-005
2012,1319-30-612-007
2012,1319-30-612-008
2012,1319-30-612-009
2012,1319-30-612-010
2012,1319-30-612-011
2012,1319-30-612-012
2012,1319-30-613-003
2012,1319-30-614-004
2012,1319-30-614-006
2012,1319-30-614-007
2012,1319-30-614-008
2012,1319-30-615-001
2012,1319-30-615-006
2012,1319-30-620-002
2012,1319-30-620-003
2012,1319-30-624-001
2012,1319-30-625-003
2012,1319-30-625-004
2012,1319-30-626-004
2012,132-011-02
2012,132-020-04
2012,132-020-24
