,File_Number,APN,Deed_Restriction_Type,Units,Date_Type,LTinfo_Transaction_ID,LTInfo_Deed_Restriction,DR_Desc,Center,Notes,Issued Date,Acknowledged Date,Pre-Grade Date,Finaled Date,RecordingNumber,RecordingDate,Description,DeedRestrictionStatus,DeedRestrictionType,ProjectAreaFileNumber,_merge
33,MOU#18-334,032-201-017,Affordable,1.0,Constructed,TRPA-ALLOC-847,2019-0012992-00,Declarants received approval to convert an existing garage to a fourth multi-family residential unit on the existing multi-residential parcel subject to a special condition that the new residential unit be deed restricted as an affordable housing unit. The new residential unit on the property shall be permanently restricted to affordable housing and shall not be used as a vacation rental.,Non-Center,,2019-04-26,2019-04-26,2019-04-26,2019-04-26,2019-0012992-00,04/16/2019,Declarants received approval to convert an existing garage to a fourth multi-family residential unit on the existing multi-residential parcel subject to a special condition that the new residential unit be deed restricted as an affordable housing unit. The new residential unit on the property shall be permanently restricted to affordable housing and shall not be used as a vacation rental. ,Recorded,Affordable Housing,,both
34,20040020STD,032-211-019,Affordable,26.0,Constructed,,2005-0048498,twenty-six affordable residential units as affordable housing,OLD,Evergreen Apartments,2004-06-23,2005-06-21,2005-06-21,2006-07-20,2005-0048498,06/14/2005,twenty-six affordable residential units as affordable housing,Recorded,Affordable Housing,,both
35,19120143,032-221-002,Moderate,2.0,Constructed,TRPA-ALLOC-1328,2020-0065712,Two residential units on this property are permanently restricted to moderate-income housing and shall not be used as second homes or vacation rentals.,Non-Center,,2020-09-07,2020-09-08,2020-09-08,2020-09-08,2020-0065712,11/16/2020,Two residential units on this property are permanently restricted to moderate-income housing and shall not be used as second homes or vacation rentals.,Recorded,Moderate Income Housing,CSLT MOU File No. 19-257; CORR2020-1514,both
36,ERSP2020-1999,032-291-028,Affordable,119.0,"Permitted, Not Constructed",TRPA-ALLOC-1330,,,Non-Center,"Sugar Pine West, Phase 3 Multiple revisions",2021-01-27,2022-09-02,,,2022-0035486,08/31/2022,"APN 032-291-028, Sugar Pine Village West Phase 1A, includes thirty (30) permanently restricted affordable multi-family housing units that shall not be used as vacation rentals. Affordable housing is defined as incomes not in excess of 80 percent of the respective county's median income for lower-income households and not to exceed 50 percent of the respective county's median income for very low-income households. These restrictions shall be disclosed at the time of sale of the property. Annual compliance reporting to TRPA is required.",Recorded,Affordable Housing,ERSP2020-1999-02,both
37,ERSP2020-1999,032-291-028,Affordable,119.0,"Permitted, Not Constructed",TRPA-ALLOC-1330,,,Non-Center,"Sugar Pine West, Phase 3 Multiple revisions",2021-01-27,2022-09-02,,,2023-0022310,08/09/2023,Fifty-nine (59) residential units on APN 032-291-028 shall be permanently restricted to Affordable Housing and one unit (manager's unit) on the property shall be unrestricted. None of the 59 residential units shall be used as a vacation rental. Affordable housing is defined as incomes not in excess of 80 percent of the respective county's median income for lower-income households and not to exceed 50 percent of the respective county's median income for very low-income households. These restrictions shall be disclosed at the time of sale of the property. Annual compliance reporting to TRPA is required.,Recorded,Affordable Housing,ERSP2020-1999-03,both
38,ERSP2020-1999,032-291-028,Affordable,59.0,"Permitted, Not Constructed",TRPA-ALLOC-1330,2023-0022310,Fifty-nine (59) residential units on APN 032-291-028 shall be permanently restricted to Affordable Housing and one unit (manager's unit) on the property shall be unrestricted. None of the 59 residential units shall be used as a vacation rental. Affordable housing is defined as incomes not in excess of 80 percent of the respective county's median income for lower-income households and not to exceed 50 percent of the respective county's median income for very low-income households. These restrictions shall be disclosed at the time of sale of the property. Annual compliance reporting to TRPA is required.,Non-Center,"Sugar Pine West, Phase 1; Multiple revisions",2021-01-27,2022-09-02,2022-09-07,,2022-0035486,08/31/2022,"APN 032-291-028, Sugar Pine Village West Phase 1A, includes thirty (30) permanently restricted affordable multi-family housing units that shall not be used as vacation rentals. Affordable housing is defined as incomes not in excess of 80 percent of the respective county's median income for lower-income households and not to exceed 50 percent of the respective county's median income for very low-income households. These restrictions shall be disclosed at the time of sale of the property. Annual compliance reporting to TRPA is required.",Recorded,Affordable Housing,ERSP2020-1999-02,both
39,ERSP2020-1999,032-291-028,Affordable,59.0,"Permitted, Not Constructed",TRPA-ALLOC-1330,2023-0022310,Fifty-nine (59) residential units on APN 032-291-028 shall be permanently restricted to Affordable Housing and one unit (manager's unit) on the property shall be unrestricted. None of the 59 residential units shall be used as a vacation rental. Affordable housing is defined as incomes not in excess of 80 percent of the respective county's median income for lower-income households and not to exceed 50 percent of the respective county's median income for very low-income households. These restrictions shall be disclosed at the time of sale of the property. Annual compliance reporting to TRPA is required.,Non-Center,"Sugar Pine West, Phase 1; Multiple revisions",2021-01-27,2022-09-02,2022-09-07,,2023-0022310,08/09/2023,Fifty-nine (59) residential units on APN 032-291-028 shall be permanently restricted to Affordable Housing and one unit (manager's unit) on the property shall be unrestricted. None of the 59 residential units shall be used as a vacation rental. Affordable housing is defined as incomes not in excess of 80 percent of the respective county's median income for lower-income households and not to exceed 50 percent of the respective county's median income for very low-income households. These restrictions shall be disclosed at the time of sale of the property. Annual compliance reporting to TRPA is required.,Recorded,Affordable Housing,ERSP2020-1999-03,both
40,ERSP2020-1999,032-291-028,Affordable,30.0,"Permitted, Not Constructed",TRPA-ALLOC-1331,2022-0035486,Thirty (30) residential units  on the Property shall be permanently restricted to Affordable Housing and shall not be used as vacation rentals.,Center,"Sugar Pine West, Phase 2",2021-01-27,2022-09-02,2022-09-07,,2022-0035486,08/31/2022,"APN 032-291-028, Sugar Pine Village West Phase 1A, includes thirty (30) permanently restricted affordable multi-family housing units that shall not be used as vacation rentals. Affordable housing is defined as incomes not in excess of 80 percent of the respective county's median income for lower-income households and not to exceed 50 percent of the respective county's median income for very low-income households. These restrictions shall be disclosed at the time of sale of the property. Annual compliance reporting to TRPA is required.",Recorded,Affordable Housing,ERSP2020-1999-02,both
41,ERSP2020-1999,032-291-028,Affordable,30.0,"Permitted, Not Constructed",TRPA-ALLOC-1331,2022-0035486,Thirty (30) residential units  on the Property shall be permanently restricted to Affordable Housing and shall not be used as vacation rentals.,Center,"Sugar Pine West, Phase 2",2021-01-27,2022-09-02,2022-09-07,,2023-0022310,08/09/2023,Fifty-nine (59) residential units on APN 032-291-028 shall be permanently restricted to Affordable Housing and one unit (manager's unit) on the property shall be unrestricted. None of the 59 residential units shall be used as a vacation rental. Affordable housing is defined as incomes not in excess of 80 percent of the respective county's median income for lower-income households and not to exceed 50 percent of the respective county's median income for very low-income households. These restrictions shall be disclosed at the time of sale of the property. Annual compliance reporting to TRPA is required.,Recorded,Affordable Housing,ERSP2020-1999-03,both
42,ERSP2020-1998,032-291-031,Affordable,37.0,"Permitted, Not Constructed",TRPA-ALLOC-1335,2022-0035487,Thirty-seven (37) residential units on APN 032-291-031shall be permanently restricted to Affordable Housing and one unit on the property shall be unrestricted. None of the residential units shall be used as a vacation rental. Affordable housing is defined as incomes not in excess of 80 percent of the respective county's median income for lower-income households and not to exceed 50 percent of the respective county's median income for very low-income households.,Center,Sugar Pine East,2021-01-27,2022-09-02,2022-09-09,,2022-0035487,08/31/2022,Thirty-seven (37) residential units on APN 032-291-031shall be permanently restricted to Affordable Housing and one unit on the property shall be unrestricted. None of the residential units shall be used as a vacation rental. Affordable housing is defined as incomes not in excess of 80 percent of the respective county's median income for lower-income households and not to exceed 50 percent of the respective county's median income for very low-income households.,Recorded,Affordable Housing,ERSP2020-1998-02,both
43,ERSP2023-1727,090-115-037,Affordable,1.0,"Permitted, Not Constructed",TRPA-ALLOC-2357,,,Non-Center,,2024-02-28,,,,,,,,,,left_only
44,CEPP2008-0164,090-122-039,Affordable,5.0,Constructed,,2010-0080866-00,Approval granted for construction of 5 residential units on the property conditioned upon the redecoration of a deed restriction permanently restricting such units as affordable housing ,OLD,Domus Housing Project,2009-09-09,2010-10-21,2010-09-10,2013-07-05,2010-0080866-00,10/07/2010,Approval granted for construction of 5 residential units on the property conditioned upon the redecoration of a deed restriction permanently restricting such units as affordable housing ,Recorded,Affordable Housing,CEPP2008-0164,both
45,CEPP2008-0163 ,090-126-026,Affordable,12.0,Constructed,,DOC-2010-0080867-00,"Deed restriction recorded for this property requiring all 12 of the residential units be rented a ""affordable housing"".",OLD,Kings Beach Housing Now,2010-01-28,2010-09-07,2011-05-02,2012-11-19,DOC-2010-0080867-00,10/07/2010,"Deed restriction recorded for this property requiring all 12 of the residential units be rented a ""affordable housing"".",Recorded,Affordable Housing,,both
46,ERSP2022-1196,090-133-021,Achievable,74.0,"Reserved, Application in review",TRPA-ALLOC-2279,,,Center,39 Degrees North,,,,,,,,,,,left_only
47,ERSP2021-1873,090-142-001,Achievable,1.0,"Reserved, Application in review",TRPA-ALLOC-2344,,,Center,,,,,,,,,,,,left_only
48,ERSP2009-0687,090-182-024,Affordable,2.0,Constructed,,DOC- 2010-0080865-00,"Not less than two (2) of the residential units in the project shall be both Rent Restricted (as defined below) and occupied (or if vacant, available for occupancy) by Eligible Households. a dwelling unit shall qualify as ""Rent Restricted"" if the gross rent charged for such unit does not exceed affordable rent. ",OLD,Domus Housing Project,2009-07-27,2010-09-07,2011-05-02,2013-07-05,DOC- 2010-0080865-00,10/07/2010,"Not less than two (2) of the residential units in the project shall be both Rent Restricted (as defined below) and occupied (or if vacant, available for occupancy) by Eligible Households. a dwelling unit shall qualify as ""Rent Restricted"" if the gross rent charged for such unit does not exceed affordable rent. ",Recorded,Affordable Housing,,both
49,CEPP2008-0161 ,090-222-050,Affordable,33.0,Constructed,,DOC-2010-0080868-00,"Deed restriction recorded for the parcel. At least 39 of the residential units on the property shall be both ""rent restricted"" and occupied (or available for occupancy) by ""eligible households"".",OLD,Kings Beach Housing Now,2010-01-27,2010-10-26,2011-05-02,2014-07-30,DOC-2010-0080868-00,10/07/2010,"Deed restriction recorded for the parcel. At least 39 of the residential units on the property shall be both ""rent restricted"" and occupied (or available for occupancy) by ""eligible households"".",Recorded,Affordable Housing,,both
50,ERSP2023-1017,092-170-033,Achievable,1.0,"Permitted, Not Constructed",TRPA-ALLOC-2372,2024-0009142-00,APN 092-170-033 has received approval from TRPA to convert a portion of an existing single-family dwelling unit to an accessory dwelling unit which shall be permanently deed restricted as an Achievable Area Median Income Housing unit and shall not be used as a vacation rental. Submission of an annual compliance report to TRPA is required.,Non-Center,,2024-01-25,2024-02-24,,,2024-0009142-00,02/21/2024,APN 092-170-033 has received approval from TRPA to convert a portion of an existing single-family dwelling unit to an accessory dwelling unit which shall be permanently deed restricted as an Achievable Area Median Income Housing unit and shall not be used as a vacation rental. Submission of an annual compliance report to TRPA is required.,Recorded,Achievable Housing,ERSP2023-1017,both
51,ERSP2021-0677,092-190-034,Achievable,1.0,"Reserved, Application in review",TRPA-ALLOC-1722,,,Non-Center,,,,,,,,,,,,left_only
52,ERSP2021-1484,093-130-026,Achievable,24.0,"Reserved, Application in review",TRPA-ALLOC-2346,,,Non-Center,Alpine View at Dollar Point,,,,,,,,,,,left_only
53,ERSP2023-0458,093-160-079,Achievable,60.0,"Reserved, Application in review",TRPA-ALLOC-2280,,,Non-Center,Dollar Creek Crossing,,,,,,,,,,,left_only
54,ERSP2023-0458,093-160-079,Affordable,80.0,"Reserved, Application in review",TRPA-ALLOC-2326,,,Non-Center,Dollar Creek Crossing,,,,,,,,,,,left_only
55,ERSP2023-0009 ,094-052-011,Achievable,1.0,"Permitted, Not Constructed",TRPA-ALLOC-2328,,,Non-Center,,2023-10-27,,,,,,,,,,left_only
56,ERSP2019-1196,094-070-006,Achievable,1.0,"Permitted, Not Constructed",TRPA-ALLOC-1329,2021-0108617-00,The residential unit on the property shall be permanently restricted to achievable area median income housing and shall not be used as a vacation rental.,Center,Tahoe Inn Caretaker Unit,2020-12-21,2021-09-14,2021-09-24,,2021-0108617-00,08/27/2021,The residential unit on the property shall be permanently restricted to achievable area median income housing and shall not be used as a vacation rental.,Recorded,Achievable Housing,ERSP2019-1196,both
57,ERSP2018-0100-01,094-090-063,Moderate,8.0,Constructed,TRPA-ALLOC-682,2019-0029986-00,"Recorded in Placer County, CA. Amended and restated deed restriction against APN 094-090-063 and recorded deed restriction #2018-0068917-00 dated 9/24/2018. The project has been revised to a total of ten (10) residential apartment units, eight (8) of which shall always be moderate income housing and two (2) will be market rate residential units. This amended and restated deed restriction reiterates and replaces the previous deed restriction (#2018-0068917-00 dated 9/24/2018) in its entirety. Moderate income housing is defined as: Deed restricted as a residential dwelling by permanent residents with an income not in excess of 120 percent of the respective county's median income. Such housing units shall be made available for rental or sale at a cost that does not exceed the recommended state and federal standards. Each county's median income will be determined according to the income limits published annually by the Department of Housing and Urban Development.",Local Jurisdiction Pool,Tahoe City Marina project. Multiple revisions,2018-08-31,2018-09-26,2018-10-09,2020-12-08,2018-0068917-00,09/24/2018,"Recorded in Placer County, CA. The nine (9) residential units located on APN 094-090-063 shall always be moderate income housing. Moderate income housing is defined as: deed restricted as a residential dwelling by permanent residents with an income not in excess of 120 percent of the respective county's median income. Such housing units shall be made available for rental or sale at a cost that does not exceed the recommended state and federal standards. Each county's median income will be determined according to the income limits published annually by the Department of Housing and Urban Development.",Recorded,Moderate Income Housing,,both
