APN,RecordType,DevelopmentRight,LandCapability,IPESScore,CumulativeBankedQuantity,RemainingBankedQuantity,LastUpdated,TransactionNumber,TransactionApprovalDate,SendingParcel,ReceivingParcel,AccelaID,JurisdictionPermitNumber,LandCapabilityCategory,JURISDICTION,PLAN_ID,PLAN_NAME,ZONING_ID,ZONING_DESCRIPTION,TOWN_CENTER,LOCATION_TO_TOWNCENTER,TAZ,WITHIN_BONUSUNIT_BNDY,WITHIN_TRPA_BNDY,LOCAL_PLAN_HYPERLINK,LTINFO_HYPERLINK,PARCEL_ACRES,PARCEL_SQFT,SHAPE
027-234-005,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,07/31/2023,TRPA-CONVTRF-2289,07/24/2023,027-040-043,,ERSP2023-0550,ERSP2023-0550,Non-Sensitive,CSLT,097,BIJOU PINES,097,Bijou Pines,,Outside Buffer,121,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/097.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/027-234-005,0.10650794,4639,"{'rings': [[[762702.0821927804, 4314479.092544895], [762697.8029934848, 4314479.960744752], [762692.9137942893, 4314480.822244611], [762692.3022943903, 4314480.9680445865], [762691.6906944914, 4314481.113944562], [762691.0774945924, 4314481.412144514], [762690.4633946931, 4314481.786744451], [762689.8484947942, 4314482.237444377], [762689.38609487, 4314482.689844303], [762689.0761949215, 4314483.143944228], [762688.6129949978, 4314483.67264414], [762688.3021950489, 4314484.202944053], [762688.1438950747, 4314484.734943965], [762687.984795101, 4314485.3431438655], [762687.3498952053, 4314487.62354349], [762686.3908953639, 4314491.654142827], [762685.584495496, 4314495.686142163], [762684.7770956289, 4314499.794741487], [762683.9697957626, 4314503.903140811], [762683.3157958696, 4314507.936940147], [762700.9976929585, 4314508.58754004], [762702.0821927804, 4314479.092544895]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
027-321-013,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,09/27/2024,TRPA-CONVTRF-2413,08/20/2024,027-040-043,,TRAN2024-0110,TRAN2024-0110,Non-Sensitive,CSLT,093,BIJOU,093,Bijou,,Quarter Mile Buffer,125,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/093.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/027-321-013,0.24085224,10491,"{'rings': [[[763984.6450816346, 4314831.85738682], [763965.8616847266, 4314820.367888711], [763942.5316885673, 4314858.080482503], [763952.2718869634, 4314863.908381544], [763961.3603854673, 4314869.497280624], [763973.002183551, 4314850.715383716], [763984.6450816346, 4314831.85738682]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
028-320-004,Conversion With Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,1,,02/10/2020,TRPA-CONVTRF-990,02/06/2020,031-030-007,,TRAN2019-1189,,Non-Sensitive,CSLT,085,LAKEVIEW HEIGHTS,085,Lakeview Heights,,Outside Buffer,114,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/085.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/028-320-004,3.80932681,165934,"{'rings': [[[765083.061800804, 4314764.055697981], [765118.6127949506, 4314706.291007491], [764987.994316455, 4314626.961420551], [764975.8156184591, 4314646.688517304], [764966.1850200454, 4314662.2883147355], [764959.7342211073, 4314672.737313015], [764956.4776216429, 4314678.012412148], [764951.1740225162, 4314686.603210732], [764954.2979220022, 4314688.509310419], [764931.4374257652, 4314710.287106834], [764937.946824694, 4314714.25870618], [764959.368521167, 4314727.329104029], [764980.7906176401, 4314740.399901876], [764997.9666148126, 4314750.879800152], [765015.1669119811, 4314761.374598423], [765032.4958091285, 4314771.947796682], [765048.0448065689, 4314781.576595098], [765065.7261036579, 4314792.223393345], [765083.061800804, 4314764.055697981]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
029-371-021,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,743.0,1,,04/01/2025,TRPA-CONVTRF-2695,03/25/2025,027-040-043,,TRAN2024-1394,,Non-Sensitive,CSLT,092,PIONEER/SKI RUN,092,Pioneer/Ski Run,,Quarter Mile Buffer,113,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/092.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/029-371-021,0.11317604,4930,"{'rings': [[[764663.1463699341, 4315886.890713131], [764669.8935688231, 4315883.457113696], [764670.3534687469, 4315883.233413734], [764657.0815709317, 4315855.792118251], [764643.4346731789, 4315862.657617122], [764657.1665709177, 4315889.87521264], [764663.1463699341, 4315886.890713131]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
031-075-027,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,09/28/2023,TRPA-CONVTRF-2322,09/14/2023,027-040-043,,ERSP2023-0838,,Non-Sensitive,CSLT,105,SIERRA TRACT,105_SA1,Sierra Tract Special Area #1,,Outside Buffer,143,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/105.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/031-075-027,0.17272318,7524,"{'rings': [[[761296.319524209, 4312699.194037916], [761285.0139260702, 4312688.951439602], [761279.3729269989, 4312683.844640443], [761262.9282297054, 4312701.953537462], [761258.8875303706, 4312706.420036728], [761275.8114275848, 4312721.788634198], [761296.319524209, 4312699.194037916]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
031-093-021,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,10/19/2022,TRPA-CONVTRF-2014,10/19/2022,027-040-043,,ERSP2022-0756,,Non-Sensitive,CSLT,105,SIERRA TRACT,105_SA1,Sierra Tract Special Area #1,,Outside Buffer,142,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/105.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/031-093-021,0.20690403,9013,"{'rings': [[[761852.8465325888, 4313097.717772309], [761807.1159401173, 4313096.227772554], [761806.6113402005, 4313114.520869542], [761852.3419326711, 4313116.010969296], [761852.8465325888, 4313097.717772309]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-151-009,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),5,,10,,11/17/2023,TRPA-CONVTRF-2334,11/02/2023,027-040-043,,ERSP2023-1091,,Non-Sensitive,CSLT,114,BONANZA,114_SA1,Bonanza Special Area #1,,Quarter Mile Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-151-009,0.71172364,31003,"{'rings': [[[760174.2206089376, 4310345.181625454], [760118.1282181721, 4310315.064130412], [760096.8031216832, 4310354.936123848], [760152.8950124485, 4310385.091718884], [760174.2206089376, 4310345.181625454]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-162-001,Conversion With Transfer Receiving Parcel,Commercial Floor Area (CFA),IPES,857.0,10,,11/10/2021,TRPA-CONVTRF-1818,11/10/2021,127-090-04,,TRAN2021-1168,,Non-Sensitive,CSLT,114,BONANZA,114,Bonanza,,Quarter Mile Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-162-001,0.76545449,33343,"{'rings': [[[760136.0357152242, 4310252.968140634], [760078.2186247427, 4310227.215944875], [760066.6834266419, 4310250.268441079], [760057.03142823, 4310268.42373809], [760113.1236189958, 4310298.541033132], [760122.9277173821, 4310280.425636115], [760123.24181733, 4310279.590336252], [760129.7908162521, 4310266.318938436], [760136.0357152242, 4310252.968140634]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-162-002,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,958.0,1,,10/23/2022,TRPA-CONVTRF-2032,10/18/2022,027-040-043,,ERSP2022-0558,ERSP2022-0558,Non-Sensitive,CSLT,114,BONANZA,114,Bonanza,,Quarter Mile Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-162-002,0.63428189,27629,"{'rings': [[[760151.1421127375, 4310210.054847699], [760090.4765227241, 4310193.802050374], [760089.2152229324, 4310197.60064975], [760087.9539231397, 4310201.399049124], [760086.5406233724, 4310205.1577485055], [760085.2794235796, 4310208.956147879], [760084.0198237877, 4310212.602147279], [760082.6077240203, 4310216.24644668], [760081.3481242275, 4310219.89254608], [760079.7844244847, 4310223.458945492], [760078.2186247427, 4310227.215944875], [760136.0357152242, 4310252.968140634], [760136.1928151986, 4310252.550440703], [760138.2251148634, 4310247.95984146], [760140.1054145545, 4310243.329442222], [760141.9861142449, 4310238.66094299], [760143.7149139596, 4310233.952743765], [760145.2911137007, 4310229.242744541], [760146.8681134405, 4310224.456545329], [760148.4447131809, 4310219.7085461095], [760149.8696129462, 4310214.882446904], [760151.1421127375, 4310210.054847699]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-191-010,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,2,,12/16/2024,TRPA-CONVTRF-2611,11/22/2024,032-291-029,,TRAN2024-0817,,Non-Sensitive,CSLT,110,TAHOE VALLEY AREA PLAN,TVAP_TC_G,Tahoe Valley Area Plan - Town Center Gateway District,South Y,Town Center,160,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-191-010,1.00374597,43723,"{'rings': [[[760130.0151162157, 4310959.492224321], [760073.770525475, 4310929.372929279], [760043.7283304203, 4310985.542220032], [760099.8204211863, 4311015.659715073], [760130.0151162157, 4310959.492224321]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-191-021,Conversion With Transfer Receiving Parcel,Residential Floor Area (RFA),7,,4411,,02/02/2016,TRPA-CONVTRF-294,05/29/2015,023-311-056,,TRAN2015-0186,,Non-Sensitive,CSLT,110,TAHOE VALLEY AREA PLAN,TVAP_TC_G,Tahoe Valley Area Plan - Town Center Gateway District,South Y,Town Center,160,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-191-021,1.96537839,85612,"{'rings': [[[760039.639331094, 4311127.963696586], [759983.3627403583, 4311097.758601557], [759914.6961516626, 4311060.93970762], [759898.55345432, 4311087.171503302], [759928.4942493914, 4311100.706301073], [759910.3864523722, 4311134.582995497], [759942.0481471596, 4311148.89449314], [759962.2134438399, 4311158.009391639], [760011.5130357239, 4311180.29348797], [760039.639331094, 4311127.963696586]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-191-021,Conversion With Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1531,,04/11/2025,TRPA-CONVTRF-381,10/03/2017,023-311-056,,TRAN2016-0458,,Non-Sensitive,CSLT,110,TAHOE VALLEY AREA PLAN,TVAP_TC_G,Tahoe Valley Area Plan - Town Center Gateway District,South Y,Town Center,160,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-191-021,1.96537839,85612,"{'rings': [[[760039.639331094, 4311127.963696586], [759983.3627403583, 4311097.758601557], [759914.6961516626, 4311060.93970762], [759898.55345432, 4311087.171503302], [759928.4942493914, 4311100.706301073], [759910.3864523722, 4311134.582995497], [759942.0481471596, 4311148.89449314], [759962.2134438399, 4311158.009391639], [760011.5130357239, 4311180.29348797], [760039.639331094, 4311127.963696586]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-241-019,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,05/22/2023,TRPA-CONVTRF-2150,05/22/2023,027-040-043,,TRAN2023-0213,,Non-Sensitive,CSLT,114,BONANZA,114,Bonanza,,Quarter Mile Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-241-019,0.24066888,10483,"{'rings': [[[759710.8697852185, 4310913.600431876], [759654.6259944774, 4310883.404936846], [759647.4645956568, 4310896.898234626], [759703.5566864228, 4310927.015829667], [759710.8697852185, 4310913.600431876]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
