APN,RecordType,DevelopmentRight,LandCapability,IPESScore,CumulativeBankedQuantity,RemainingBankedQuantity,LastUpdated,TransactionNumber,TransactionApprovalDate,SendingParcel,ReceivingParcel,AccelaID,JurisdictionPermitNumber,LandCapabilityCategory
028-320-004,Conversion With Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,1,,02/10/2020,TRPA-CONVTRF-990,02/06/2020,031-030-007,,TRAN2019-1189,,Non-Sensitive
029-371-021,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,743.0,1,,04/01/2025,TRPA-CONVTRF-2695,03/25/2025,027-040-043,,TRAN2024-1394,,Non-Sensitive
031-075-027,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,09/28/2023,TRPA-CONVTRF-2322,09/14/2023,027-040-043,,ERSP2023-0838,,Non-Sensitive
031-093-021,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,10/19/2022,TRPA-CONVTRF-2014,10/19/2022,027-040-043,,ERSP2022-0756,,Non-Sensitive
032-151-009,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),5,,10,,11/17/2023,TRPA-CONVTRF-2334,11/02/2023,027-040-043,,ERSP2023-1091,,Non-Sensitive
032-162-001,Conversion With Transfer Receiving Parcel,Commercial Floor Area (CFA),IPES,857.0,10,,11/10/2021,TRPA-CONVTRF-1818,11/10/2021,127-090-04,,TRAN2021-1168,,Non-Sensitive
032-162-002,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,958.0,1,,10/23/2022,TRPA-CONVTRF-2032,10/18/2022,027-040-043,,ERSP2022-0558,ERSP2022-0558,Non-Sensitive
032-191-010,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,2,,12/16/2024,TRPA-CONVTRF-2611,11/22/2024,032-291-029,,TRAN2024-0817,,Non-Sensitive
032-191-021,Conversion With Transfer Receiving Parcel,Residential Floor Area (RFA),7,,4411,,02/02/2016,TRPA-CONVTRF-294,05/29/2015,023-311-056,,TRAN2015-0186,,Non-Sensitive
032-191-021,Conversion With Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1531,,04/11/2025,TRPA-CONVTRF-381,10/03/2017,023-311-056,,TRAN2016-0458,,Non-Sensitive
032-241-019,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,05/22/2023,TRPA-CONVTRF-2150,05/22/2023,027-040-043,,TRAN2023-0213,,Non-Sensitive
032-291-028,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,08/25/2023,TRPA-CONVTRF-2321,08/14/2023,027-040-043,,ERSP2023-0859,,Non-Sensitive
032-291-028,Conversion With Transfer Receiving Parcel,Commercial Floor Area (CFA),7,,1,,08/12/2024,TRPA-CONVTRF-2580,08/12/2024,032-291-029,,TRAN2024-0760,,Non-Sensitive
032-291-031,Conversion With Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,12/20/2022,TRPA-CONVTRF-2079,12/05/2022,032-291-029,,TRAN2022-1336,,Non-Sensitive
033-842-006,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),5,,1,,06/30/2022,TRPA-CONVTRF-1995,06/16/2022,098-360-007,,TRAN2022-0128,,Non-Sensitive
034-203-009,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,904.0,1,,10/07/2021,TRPA-CONVTRF-1462,10/04/2021,023-191-007,,TRAN2021-0373,,Non-Sensitive
034-652-010,Conversion With Transfer Receiving Parcel,Commercial Floor Area (CFA),IPES,919.0,2,,04/27/2023,TRPA-CONVTRF-2086,03/21/2023,034-122-003,,TRAN2022-1437,TRAN2022-1437,Non-Sensitive
035-211-028,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,797.0,1,,10/07/2021,TRPA-CONVTRF-1460,10/04/2021,023-191-007,,TRAN2021-0344,,Non-Sensitive
035-212-008,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,627.0,1,,08/25/2021,TRPA-CONVTRF-1461,08/12/2021,023-191-007,,TRAN2021-0341,,Sensitive
036-561-001,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),5,,1,,06/30/2022,TRPA-CONVTRF-1982,06/16/2022,098-360-007,,TRAN2022-0127,,Non-Sensitive
083-172-009,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),6,,1,,06/14/2022,TRPA-CONVTRF-1979,06/02/2022,117-071-042,,TRAN2022-0443,,Non-Sensitive
094-070-001,Conversion With Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),5,,4,,08/16/2019,TRPA-CONVTRF-703,07/30/2019,115-030-090,,TRAN2018-0592,,Non-Sensitive
112-290-028,Conversion With Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,1,,04/01/2025,TRPA-CONVTRF-2667,03/27/2025,094-070-006,,TRAN2024-0164,,Non-Sensitive
115-040-082,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),6,,1,,11/08/2022,TRPA-CONVTRF-1998,07/13/2022,117-071-042,,TRAN2022-0532,,Non-Sensitive
123-071-34,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),4,,40,,07/12/2016,TRPA-CONVTRF-365,06/23/2016,029-441-004,,TRAN2016-0246,,Non-Sensitive
023-191-007,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,10/19/2016,TRPA-CONVTRF-372,08/19/2016,,026-221-013,TRAN2016-0399,,Non-Sensitive
023-191-007,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,03/29/2017,TRPA-CONVTRF-392,03/20/2017,,025-377-009,TRAN2016-0541,,Non-Sensitive
023-191-007,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,10/19/2016,TRPA-CONVTRF-437,10/03/2016,,025-021-080,TRAN2016-0684,,Non-Sensitive
023-191-007,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,10/07/2021,TRPA-CONVTRF-1460,10/04/2021,,035-211-028,TRAN2021-0344,,Non-Sensitive
023-191-007,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,08/25/2021,TRPA-CONVTRF-1461,08/12/2021,,035-212-008,TRAN2021-0341,,Non-Sensitive
023-191-007,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,10/07/2021,TRPA-CONVTRF-1462,10/04/2021,,034-203-009,TRAN2021-0373,,Non-Sensitive
023-311-056,Conversion With Transfer Sending Parcel,Residential Floor Area (RFA),7,,4411,,02/02/2016,TRPA-CONVTRF-294,05/29/2015,,032-191-021,TRAN2015-0186,,Non-Sensitive
023-311-056,Conversion With Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1531,,04/11/2025,TRPA-CONVTRF-381,10/03/2017,,032-191-021,TRAN2016-0458,,Non-Sensitive
023-392-003,Conversion With Transfer Sending Parcel,Commercial Floor Area (CFA),7,,4,,11/08/2022,TRPA-CONVTRF-1978,07/06/2022,,027-072-010,TRAN2022-0365,,Non-Sensitive
026-049-002,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,11/19/2015,TRPA-CONVTRF-89,06/19/2014,,026-115-005,TRAN2013-0770,,Non-Sensitive
026-049-002,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,12/13/2017,TRPA-CONVTRF-99,07/11/2013,,026-122-002,TRAN2013-0304,,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,10/19/2022,TRPA-CONVTRF-2014,10/19/2022,,031-093-021,ERSP2022-0756,,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,10/23/2022,TRPA-CONVTRF-2032,10/18/2022,,032-162-002,ERSP2022-0558,ERSP2022-0558,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,05/22/2023,TRPA-CONVTRF-2150,05/22/2023,,032-241-019,TRAN2023-0213,,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,05/22/2023,TRPA-CONVTRF-2151,05/22/2023,,026-092-026,ERSP2023-0212,,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,07/31/2023,TRPA-CONVTRF-2283,07/24/2023,,026-104-005,ERSP2023-0380,ERSP2023-0380,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,21,,06/30/2023,TRPA-CONVTRF-2288,05/19/2023,,025-041-023,ERSP2023-0438,,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,07/31/2023,TRPA-CONVTRF-2289,07/24/2023,,027-234-005,ERSP2023-0550,ERSP2023-0550,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,08/18/2023,TRPA-CONVTRF-2290,07/13/2023,,027-233-034,ERSP2022-2030,ERSP2022-2030,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,08/25/2023,TRPA-CONVTRF-2321,08/14/2023,,032-291-028,ERSP2023-0859,,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,09/28/2023,TRPA-CONVTRF-2322,09/14/2023,,031-075-027,ERSP2023-0838,,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,10,,11/17/2023,TRPA-CONVTRF-2334,11/02/2023,,032-151-009,ERSP2023-1091,,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,09/27/2024,TRPA-CONVTRF-2413,08/20/2024,,027-321-013,TRAN2024-0110,TRAN2024-0110,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,08/15/2024,TRPA-CONVTRF-2596,08/15/2024,,026-261-001,TRAN2024-0172,,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,10/24/2024,TRPA-CONVTRF-2602,10/18/2024,,023-512-007,TRAN2024-0771,,Non-Sensitive
027-040-043,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,1,,04/01/2025,TRPA-CONVTRF-2695,03/25/2025,,029-371-021,TRAN2024-1394,,Non-Sensitive
029-441-004,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),1b,,40,,07/12/2016,TRPA-CONVTRF-365,06/23/2016,,123-071-34,TRAN2016-0246,,SEZ
031-030-007,Conversion With Transfer Sending Parcel,Commercial Floor Area (CFA),7,,1,,02/10/2020,TRPA-CONVTRF-990,02/06/2020,,028-320-004,TRAN2019-1189,,Non-Sensitive
032-291-029,Conversion With Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,12/20/2022,TRPA-CONVTRF-2079,12/05/2022,,032-291-031,TRAN2022-1336,,Non-Sensitive
032-291-029,Conversion With Transfer Sending Parcel,Commercial Floor Area (CFA),7,,1,,08/12/2024,TRPA-CONVTRF-2580,08/12/2024,,032-291-028,TRAN2024-0760,,Non-Sensitive
032-291-029,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,2,,12/16/2024,TRPA-CONVTRF-2611,11/22/2024,,032-191-010,TRAN2024-0817,,Non-Sensitive
034-122-003,Conversion With Transfer Sending Parcel,Commercial Floor Area (CFA),IPES,814.0,2,,04/27/2023,TRPA-CONVTRF-2086,03/21/2023,,034-652-010,TRAN2022-1437,TRAN2022-1437,Non-Sensitive
094-070-006,Conversion With Transfer Sending Parcel,Commercial Floor Area (CFA),1b,,1,,04/01/2025,TRPA-CONVTRF-2667,03/27/2025,,112-290-028,TRAN2024-0164,,SEZ
098-360-007,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),5,,1,,06/30/2022,TRPA-CONVTRF-1981,06/16/2022,,025-814-013,TRAN2022-0122,,Non-Sensitive
098-360-007,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),5,,1,,06/30/2022,TRPA-CONVTRF-1982,06/16/2022,,036-561-001,TRAN2022-0127,,Non-Sensitive
098-360-007,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),5,,1,,06/30/2022,TRPA-CONVTRF-1995,06/16/2022,,033-842-006,TRAN2022-0128,,Non-Sensitive
098-360-007,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),5,,12,,06/30/2022,TRPA-CONVTRF-1996,06/16/2022,,023-102-050,TRAN2022-0151,,Non-Sensitive
115-030-090,Conversion With Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),1b,,4,,08/16/2019,TRPA-CONVTRF-703,07/30/2019,,094-070-001,TRAN2018-0592,,SEZ
117-071-042,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),5,,1,,06/14/2022,TRPA-CONVTRF-1979,06/02/2022,,083-172-009,TRAN2022-0443,,Non-Sensitive
117-071-042,Conversion With Transfer Sending Parcel,Tourist Accommodation Unit (TAU),5,,1,,11/08/2022,TRPA-CONVTRF-1998,07/13/2022,,115-040-082,TRAN2022-0532,,Non-Sensitive
127-090-04,Conversion With Transfer Sending Parcel,Commercial Floor Area (CFA),6,,10,,11/10/2021,TRPA-CONVTRF-1818,11/10/2021,,032-162-001,TRAN2021-1168,,Non-Sensitive
014-321-002,Transfer Receiving Parcel,Coverage (potential),IPES,667.0,1243,,01/28/2022,TRPA-TRF-1457,01/25/2022,014-021-011,,TRAN2021-0370,,Sensitive
015-033-019,Transfer Receiving Parcel,Coverage (potential),5,,233,,08/08/2023,TRPA-TRF-2318,07/27/2023,085-360-003,,CORR2023-0947,CORR2023-0947,Non-Sensitive
015-152-006,Transfer Receiving Parcel,Coverage (potential),IPES,814.0,175,,02/26/2025,TRPA-TRF-2685,08/27/2024,085-360-003,,CORR2025-0240,CORR2025-0240,Non-Sensitive
015-162-010,Transfer Receiving Parcel,Coverage (potential),5,,29,,06/18/2024,TRPA-TRF-2555,05/16/2024,085-360-003,,CORR2024-0683,CORR2024-0683,Non-Sensitive
015-164-012,Transfer Receiving Parcel,Coverage (potential),IPES,827.0,230,,02/26/2025,TRPA-TRF-2684,07/31/2024,085-360-003,,CORR2025-0239,CORR2025-0239,Non-Sensitive
015-253-015,Transfer Receiving Parcel,Coverage (potential),IPES,796.0,300,,12/02/2024,TRPA-TRF-2630,05/03/2024,085-360-003,,CORR2024-1574,CORR2024-1574,Non-Sensitive
015-304-013,Transfer Receiving Parcel,Coverage (potential),IPES,770.0,239,,07/17/2024,TRPA-TRF-2579,06/20/2024,085-360-003,,CORR2024-0781,CORR2024-0781,Non-Sensitive
015-313-017,Transfer Receiving Parcel,Coverage (potential),IPES,785.0,298,,05/11/2023,TRPA-TRF-2273,04/12/2023,085-360-003,,CORR2023-0480,CORR2023-0480,Non-Sensitive
015-370-031,Transfer Receiving Parcel,Restoration Credit,1b,,2067,,12/20/2024,TRPA-TRF-2647,05/11/2021,084-010-047,,ERSP2020-0904,ERSP2020-0904,SEZ
016-081-003,Transfer Receiving Parcel,Restoration Credit,1b,,32,,02/26/2025,TRPA-TRF-2691,12/03/2024,031-030-039,,ERSP2019-1550,ERSP2019-1550,SEZ
016-091-027,Transfer Receiving Parcel,Coverage (potential),IPES,785.0,323,,11/04/2015,TRPA-TRF-295,06/24/2015,016-600-013,,TRAN2015-0122,,Non-Sensitive
016-131-007,Transfer Receiving Parcel,Restoration Credit,1b,,402,,03/20/2020,TRPA-TRF-1113,03/09/2017,031-030-039,,ERSP2016-1224,ERSP2016-1224,SEZ
016-131-007,Transfer Receiving Parcel,Restoration Credit,1b,,144,,10/27/2022,TRPA-TRF-2035,07/22/2022,084-010-047,,ERSP2022-0009,,SEZ
016-251-006,Transfer Receiving Parcel,Restoration Credit,1b,,102,,04/01/2025,TRPA-TRF-2578,06/17/2024,036-571-007,,ERSP2023-1778,ERSP2023-1778,SEZ
016-300-040,Transfer Receiving Parcel,Coverage (potential),5,,150,,04/03/2019,TRPA-TRF-770,04/01/2019,018-300-023,,TRAN2018-0879,,Non-Sensitive
016-300-062,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,821.0,1,,10/02/2018,TRPA-TRF-641,10/01/2018,033-180-006,,TRAN2018-0123,,Non-Sensitive
016-313-010,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,767.0,1,,11/18/2021,TRPA-TRF-1698,11/17/2021,027-082-033,,TRAN2021-0458,,Non-Sensitive
016-483-005,Transfer Receiving Parcel,Coverage (potential),IPES,677.0,1950,,04/05/2023,TRPA-TRF-2124,04/04/2023,018-300-021,,TRAN2021-1209,,Sensitive
016-513-012,Transfer Receiving Parcel,Coverage (potential),IPES,644.0,674,,10/07/2016,TRPA-TRF-378,09/27/2016,016-101-073,,TRAN2016-0443,,Sensitive
016-513-012,Transfer Receiving Parcel,Coverage (hard),IPES,644.0,360,,10/19/2016,TRPA-TRF-388,09/12/2016,032-050-078,,TRAN2016-0496,,Sensitive
022-020-001,Transfer Receiving Parcel,Coverage (hard),6,,560,,12/20/2022,TRPA-TRF-2072,11/28/2022,025-551-006,,TRAN2022-0524,,Non-Sensitive
022-023-003,Transfer Receiving Parcel,Coverage (potential),IPES,817.0,75,,06/27/2024,TRPA-TRF-2570,02/29/2024,033-304-009,,CORR2024-0721,CORR2024-0721,Non-Sensitive
022-061-010,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,741.0,1,,11/04/2015,TRPA-TRF-290,09/18/2015,027-082-035,,TRAN2015-0612,,Non-Sensitive
022-122-019,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,793.0,1,,07/11/2018,TRPA-TRF-648,05/09/2018,023-111-039,,TRAN2018-0211,,Non-Sensitive
022-122-019,Transfer Receiving Parcel,Coverage (potential),IPES,793.0,227,,10/18/2018,TRPA-TRF-717,07/18/2018,034-251-012,,TRAN2018-0752,CTC Transfer,Non-Sensitive
022-141-003,Transfer Receiving Parcel,Coverage (potential),IPES,734.0,465,,05/03/2024,TRPA-TRF-2537,03/19/2021,034-103-005,,MOUA2023-1625,MOUA2023-1625,Non-Sensitive
022-171-033,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,443.0,1,,10/25/2016,TRPA-TRF-391,08/17/2016,029-170-002,,TRAN2016-0533,,Sensitive
022-192-013,Transfer Receiving Parcel,Coverage (potential),IPES,589.0,490,,12/21/2024,TRPA-TRF-2646,09/13/2024,033-201-009,,CORR2024-1640,CORR2024-1640,Sensitive
022-222-015,Transfer Receiving Parcel,Coverage (potential),6,,364,,12/18/2024,TRPA-TRF-2568,03/29/2024,033-201-017,,CORR2024-0710,CORR2024-0710,Non-Sensitive
022-222-016,Transfer Receiving Parcel,Coverage (hard),IPES,486.0,598,,11/19/2015,TRPA-TRF-88,04/23/2014,034-571-003,,TRAN2013-0888,,Sensitive
022-222-017,Transfer Receiving Parcel,Coverage (potential),6,,44,,02/28/2025,TRPA-TRF-2692,11/21/2024,033-201-008,,CORR2025-0247,CORR2025-0247,Non-Sensitive
022-343-27,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,970.0,1,,10/24/2016,TRPA-TRF-436,10/24/2016,031-226-010,,TRAN2016-0777,,Non-Sensitive
022-344-024,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,776.0,1,,06/07/2018,TRPA-TRF-539,04/25/2018,031-082-008,,TRAN2017-0448,,Non-Sensitive
023-081-003,Transfer Receiving Parcel,Coverage (hard),7,,49699,,07/27/2023,TRPA-TRF-362,08/29/2018,033-050-006,,TRAN2016-0231,,Non-Sensitive
023-102-041,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,871.0,1,,11/04/2015,TRPA-TRF-306,10/19/2015,032-191-002,,TRAN2015-0755,,Non-Sensitive
023-102-041,Transfer Receiving Parcel,Coverage (potential),IPES,871.0,206,,01/31/2024,TRPA-TRF-2386,03/22/2016,023-141-005,,CORR2024-0059,CORR2024-0059,Non-Sensitive
023-102-042,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,882.0,1,,11/04/2015,TRPA-TRF-303,06/25/2015,026-032-014,,TRAN2015-0280,,Non-Sensitive
023-103-014,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,882.0,1,,08/30/2017,TRPA-TRF-547,08/07/2017,029-530-015,,TRAN2017-0510,,Non-Sensitive
023-141-029,Transfer Receiving Parcel,Coverage (potential),IPES,776.0,380,,02/07/2023,TRPA-TRF-2118,01/17/2023,081-085-020,,CORR2023-0092,CORR2023-0092,Non-Sensitive
023-181-043,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,01/17/2020,TRPA-TRF-774,01/03/2020,030-361-025,,TRAN2019-0020,,Non-Sensitive
023-181-043,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,01/17/2020,TRPA-TRF-775,01/03/2020,025-884-001,,TRAN2019-0021,,Non-Sensitive
023-182-006,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,11/09/2016,TRPA-TRF-419,11/09/2016,032-277-021,,TRAN2016-0682,,Non-Sensitive
023-182-006,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,11/09/2016,TRPA-TRF-421,11/09/2016,023-571-011,,TRAN2016-0683,,Non-Sensitive
023-182-026,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,965.0,1,,11/04/2022,TRPA-TRF-2041,10/31/2022,081-043-012,,TRAN2022-1049,,Non-Sensitive
023-182-028,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,06/14/2021,TRPA-TRF-1438,05/25/2021,126-580-07,,TRAN2021-0060,,Non-Sensitive
023-182-028,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,06/14/2021,TRPA-TRF-1439,05/24/2021,030-581-001,,TRAN2021-0057,,Non-Sensitive
023-182-028,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,06/14/2021,TRPA-TRF-1441,05/24/2021,081-092-005,,TRAN2021-0061,,Non-Sensitive
023-182-028,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,06/14/2021,TRPA-TRF-1442,05/24/2021,030-581-002,,TRAN2021-0058,,Non-Sensitive
023-182-028,Transfer Receiving Parcel,Coverage (potential),7,,3619,,06/15/2021,TRPA-TRF-1697,05/25/2021,036-010-009,,TRAN2021-0059,TRAN2021-0059,Non-Sensitive
023-182-028,Transfer Receiving Parcel,Coverage (potential),7,,48,,04/27/2023,TRPA-TRF-2215,03/27/2023,033-201-017,,CORR2023-0426,,Non-Sensitive
023-191-007,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,10/07/2016,TRPA-TRF-386,10/07/2016,026-221-013,,TRAN2016-0494,,Non-Sensitive
023-191-007,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,10/07/2016,TRPA-TRF-387,10/07/2016,031-045-008,,TRAN2016-0495,,Non-Sensitive
023-191-007,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,11/29/2016,TRPA-TRF-424,11/29/2016,025-377-009,,TRAN2016-0719,,Non-Sensitive
023-241-042,Transfer Receiving Parcel,Coverage (potential),7,,5349,,01/31/2024,TRPA-TRF-2388,05/26/2022,023-141-005,,CORR2024-0070,CORR2024-0070,Non-Sensitive
