APN,Year,apn_in_fc_other_years
016-332-42,2013,True
016-544-20,2013,True
017-021-018,2018,False
017-021-018,2019,False
017-021-018,2020,False
017-021-018,2021,False
017-021-018,2022,False
017-021-018,2023,False
017-021-018,2024,False
017-021-018,2025,False
017-021-020,2018,False
017-021-020,2019,False
017-021-020,2020,False
017-021-020,2021,False
017-021-020,2022,False
017-021-020,2023,False
017-021-020,2024,False
017-021-020,2025,False
017-021-18,2017,True
017-021-20,2017,True
017-021-31,2013,True
017-041-34,2013,True
017-041-34,2014,True
018-090-079,2018,False
018-090-079,2019,False
018-090-079,2020,False
018-090-079,2021,False
018-090-079,2022,False
018-090-079,2023,False
018-090-079,2024,False
018-090-079,2025,False
018-090-79,2017,True
018-300-23,2013,True
018-320-13,2013,True
021-201-16,2013,True
021-241-07,2013,True
021-321-009,2018,False
021-321-009,2019,False
021-321-009,2020,False
021-321-009,2021,False
021-321-009,2022,False
021-321-009,2023,False
021-321-009,2024,False
021-321-009,2025,False
021-321-09,2017,True
021-321-32,2013,True
021-321-32,2014,True
022-051-086,2017,True
022-061-010,2016,True
022-061-010,2017,True
022-171-033,2017,True
022-221-016,2017,True
022-331-26,2013,True
022-342-012,2016,True
022-342-012,2017,True
022-344-012,2021,True
022-344-012,2022,True
022-344-012,2023,True
022-344-012,2024,True
022-344-012,2025,True
023-102-041,2016,True
023-102-041,2017,True
023-182-006,2017,True
023-341-20,2013,True
023-451-002,2016,True
023-451-002,2017,True
023-471-014,2016,True
023-471-014,2017,True
023-551-016,2016,True
023-551-016,2017,True
023-553-001,2016,True
023-553-001,2017,True
023-571-012,2016,True
023-571-012,2017,True
023-602-002,2016,True
023-602-002,2017,True
023-644-013,2017,True
023-653-024,2017,True
023-681-006,2016,True
023-681-006,2017,True
023-682-004,2016,True
023-682-004,2017,True
023-693-003,2017,True
023-694-005,2017,True
023-696-008,2017,True
023-755-010,2016,True
023-755-010,2017,True
023-772-008,2016,True
023-772-008,2017,True
023-892-002,2017,True
023-892-009,2016,True
023-892-009,2017,True
023-902-013,2017,True
023-904-018,2023,True
023-960-002,2022,True
023-960-003,2022,True
023-960-004,2022,True
023-960-005,2022,True
023-960-006,2022,True
023-960-007,2022,True
025-223-004,2016,True
025-223-004,2017,True
025-224-20,2013,True
025-224-20,2014,True
025-225-014,2018,False
025-225-014,2019,False
025-225-014,2020,False
025-225-014,2021,False
025-225-014,2022,False
025-225-014,2023,False
025-225-014,2024,False
025-225-014,2025,False
025-225-14,2017,True
025-261-013,2017,True
025-377-009,2017,True
025-382-14,2013,True
025-451-017,2018,False
025-451-017,2019,False
025-451-017,2020,False
025-451-017,2021,False
025-451-017,2022,False
025-451-017,2023,False
025-451-017,2024,False
025-451-017,2025,False
025-451-17,2017,True
025-542-008,2017,True
025-554-013,2024,True
025-554-013,2025,True
025-592-012,2016,True
025-592-012,2017,True
025-644-001,2016,True
025-644-001,2017,True
025-681-014,2016,True
025-681-014,2017,True
025-735-006,2019,True
025-735-006,2020,True
025-735-006,2021,True
025-735-006,2022,True
025-735-006,2023,True
025-735-006,2024,True
025-735-006,2025,True
025-742-017,2016,True
025-742-017,2017,True
025-744-011,2023,True
025-744-011,2024,True
025-744-011,2025,True
025-754-002,2021,True
025-754-002,2022,True
025-754-002,2023,True
025-754-002,2024,True
025-754-002,2025,True
026-031-013,2023,True
026-031-013,2024,True
026-031-013,2025,True
026-034-008,2018,False
026-034-008,2019,False
026-034-008,2020,False
026-034-008,2021,False
026-034-008,2022,False
026-034-008,2023,False
026-034-008,2024,False
026-034-008,2025,False
026-034-08,2017,True
026-061-014,2017,True
026-061-030,2016,True
026-061-030,2017,True
026-064-018,2017,True
026-105-006,2021,True
026-105-006,2022,True
026-105-006,2023,True
026-105-006,2024,True
026-105-006,2025,True
026-111-021,2024,True
026-111-021,2025,True
026-115-005,2017,True
026-122-031,2021,True
026-122-031,2022,True
026-122-031,2023,True
026-122-031,2024,True
026-122-031,2025,True
026-122-033,2021,True
026-122-033,2022,True
026-122-033,2023,True
026-122-033,2024,True
026-122-033,2025,True
026-221-013,2017,True
026-300-001,2021,True
026-300-001,2022,True
026-300-001,2023,True
026-300-001,2024,True
026-300-001,2025,True
027-053-009,2018,False
027-053-009,2019,False
027-053-009,2020,False
027-053-009,2021,False
027-053-009,2022,False
027-053-009,2023,False
027-053-009,2024,False
027-053-009,2025,False
027-053-011,2018,False
027-053-011,2019,False
027-053-011,2020,False
027-053-011,2021,False
027-053-011,2022,False
027-053-011,2023,False
027-053-011,2024,False
027-053-011,2025,False
027-101-013,2016,True
027-101-013,2017,True
027-112-020,2018,False
027-112-020,2019,False
027-112-020,2020,False
027-112-020,2021,False
027-112-020,2022,False
027-112-020,2023,False
027-112-020,2024,False
027-112-020,2025,False
027-112-20,2017,True
027-122-004,2021,True
027-122-004,2022,True
027-122-004,2023,True
027-122-004,2024,True
027-122-004,2025,True
027-143-013,2023,True
027-143-013,2024,True
027-143-013,2025,True
027-143-022,2023,True
027-143-022,2024,True
027-143-022,2025,True
027-153-003,2024,True
027-153-003,2025,True
027-153-007,2025,True
027-313-002,2018,False
027-313-002,2019,False
027-313-002,2020,False
027-313-002,2021,False
027-313-002,2022,False
027-313-002,2023,False
027-313-002,2024,False
027-313-002,2025,False
027-313-013,2019,True
027-313-013,2020,True
027-313-013,2021,True
027-313-013,2022,True
027-313-013,2023,True
027-313-013,2024,True
027-313-013,2025,True
027-313-02,2017,True
027-313-16,2012,True
027-313-16,2013,True
027-313-16,2014,True
027-313-16,2015,True
027-313-16,2016,True
027-323-010,2018,False
027-323-010,2019,False
027-323-010,2020,False
027-323-010,2021,False
027-323-010,2022,False
027-323-010,2023,False
027-323-010,2024,False
027-323-010,2025,False
027-323-10,2014,True
027-323-10,2015,True
027-323-10,2016,True
027-323-10,2017,True
027-364-015,2016,True
027-364-015,2017,True
027-621-015,2018,True
027-621-015,2019,True
027-621-015,2020,True
027-621-15,2012,True
027-621-15,2015,True
027-621-15,2016,True
027-621-15,2017,True
028-011-019,2018,False
028-011-019,2019,False
028-011-019,2020,False
028-011-019,2021,False
028-011-019,2022,False
028-011-019,2023,False
028-011-019,2024,False
028-011-019,2025,False
028-123-007,2016,True
028-123-007,2017,True
028-190-031,2016,True
028-190-031,2017,True
028-301-006,2018,False
028-301-006,2019,False
028-301-006,2020,False
028-301-006,2021,False
028-301-006,2022,False
028-301-006,2023,False
028-301-006,2024,False
028-301-006,2025,False
028-301-65,2013,True
028-301-65,2014,True
029-010-002,2018,False
029-010-002,2019,False
029-010-002,2020,False
029-010-002,2021,False
029-010-002,2022,False
029-010-002,2023,False
029-010-002,2024,False
029-010-002,2025,False
029-010-02,2017,True
029-095-030,2023,True
029-095-030,2024,True
029-095-030,2025,True
029-095-30,2013,True
029-381-050,2018,False
029-381-050,2019,False
029-381-050,2020,False
029-381-050,2021,False
029-381-050,2022,False
029-381-050,2023,False
029-381-050,2024,False
029-381-050,2025,False
029-381-50,2012,True
029-381-50,2015,True
029-381-50,2016,True
029-381-50,2017,True
029-391-033,2023,True
029-391-033,2024,True
029-391-033,2025,True
029-421-002,2017,True
029-602-13,2013,True
029-602-13,2014,True
029-605-001,2017,True
030-352-009,2016,True
030-352-009,2017,True
030-352-023,2017,True
030-352-027,2023,True
030-352-027,2024,True
030-352-027,2025,True
030-421-02,2013,True
031-043-005,2021,True
031-043-005,2022,True
031-043-005,2023,True
031-043-005,2024,True
031-043-005,2025,True
031-045-008,2017,True
031-084-17,2013,True
031-084-17,2014,True
031-085-23,2013,True
031-085-23,2014,True
031-103-027,2025,True
031-163-017,2016,True
031-163-017,2017,True
031-201-011,2025,True
031-204-002,2017,True
031-207-005,2021,True
031-207-005,2022,True
031-207-005,2023,True
031-207-005,2024,True
031-207-005,2025,True
031-207-006,2021,True
031-207-006,2022,True
031-207-006,2023,True
031-207-006,2024,True
031-207-006,2025,True
031-222-011,2017,True
031-322-011,2016,True
031-322-011,2017,True
031-334-003,2016,True
031-334-003,2017,True
032-242-006,2016,True
032-242-006,2017,True
032-274-007,2017,True
032-322-014,2017,True
033-255-006,2018,False
033-255-006,2019,False
033-255-006,2020,False
033-255-006,2021,False
033-255-006,2022,False
033-255-006,2023,False
033-255-006,2024,False
033-255-006,2025,False
033-255-008,2018,False
033-255-008,2019,False
033-255-008,2020,False
033-255-008,2021,False
033-255-008,2022,False
033-255-008,2023,False
033-255-008,2024,False
033-255-008,2025,False
033-255-06,2012,False
033-255-06,2013,False
033-255-06,2014,False
033-255-06,2015,False
033-255-06,2016,False
033-255-06,2017,False
033-255-08,2012,False
033-255-08,2013,False
033-255-08,2014,False
033-255-08,2015,False
033-255-08,2016,False
033-255-08,2017,False
033-291-018,2016,True
033-291-018,2017,True
033-423-002,2016,True
033-423-002,2017,True
033-523-021,2017,True
033-574-001,2016,True
033-574-001,2017,True
033-574-007,2017,True
033-631-028,2016,True
033-631-028,2017,True
033-644-008,2016,True
033-644-008,2017,True
033-661-026,2015,True
033-661-026,2016,True
033-661-026,2017,True
033-661-026,2018,True
033-703-014,2022,True
033-703-014,2023,True
033-703-014,2024,True
033-703-014,2025,True
033-836-001,2017,True
033-841-031,2022,True
033-841-031,2023,True
033-841-031,2024,True
033-841-031,2025,True
033-841-033,2022,True
033-841-033,2023,True
033-841-033,2024,True
033-841-033,2025,True
033-854-006,2017,True
033-864-007,2017,True
033-882-007,2016,True
033-882-007,2017,True
034-095-004,2016,True
034-095-004,2017,True
034-098-003,2016,True
034-098-003,2017,True
034-161-037,2017,True
034-161-041,2016,True
034-161-041,2017,True
034-241-002,2023,True
034-241-002,2024,True
034-241-002,2025,True
034-254-014,2017,True
034-284-028,2018,False
034-284-028,2019,False
034-284-028,2020,False
034-284-028,2021,False
034-284-028,2022,False
034-284-028,2023,False
034-284-028,2024,False
034-284-028,2025,False
034-284-28,2017,True
034-453-006,2017,True
034-512-011,2017,True
034-691-020,2018,False
034-691-020,2019,False
034-691-020,2020,False
034-691-020,2021,False
034-691-020,2022,False
034-691-020,2023,False
034-691-020,2024,False
034-691-020,2025,False
034-691-20,2017,True
034-701-005,2017,True
034-713-019,2016,True
034-713-019,2017,True
034-722-039,2016,True
034-722-039,2017,True
034-722-44,2013,True
034-723-001,2017,True
034-727-012,2017,True
034-734-026,2018,False
034-734-026,2019,False
034-734-026,2020,False
034-734-026,2021,False
034-734-026,2022,False
034-734-026,2023,False
034-734-026,2024,False
034-734-026,2025,False
034-734-26,2017,True
035-144-004,2017,True
035-211-010,2017,True
035-234-20,2013,True
035-234-20,2014,True
035-241-003,2016,True
035-241-003,2017,True
035-271-019,2016,True
035-271-019,2017,True
035-272-009,2017,True
035-283-018,2019,True
035-283-018,2020,True
035-283-018,2021,True
035-283-018,2022,True
035-283-018,2023,True
035-283-018,2024,True
035-283-018,2025,True
035-283-022,2019,True
035-283-022,2020,True
035-283-022,2021,True
035-283-022,2022,True
035-283-022,2023,True
035-283-022,2024,True
035-283-022,2025,True
035-291-005,2023,True
035-291-005,2024,True
035-291-005,2025,True
035-292-002,2017,True
035-293-017,2018,False
035-293-017,2019,False
035-293-017,2020,False
035-293-017,2021,False
035-293-017,2022,False
035-293-017,2023,False
035-293-017,2024,False
035-293-017,2025,False
035-293-17,2017,True
035-296-14,2012,True
035-296-14,2015,True
035-301-001,2018,False
035-301-001,2019,False
035-301-001,2020,False
035-301-001,2021,False
035-301-001,2022,False
035-301-001,2023,False
035-301-001,2024,False
035-301-001,2025,False
035-301-01,2016,True
035-301-01,2017,True
036-350-008,2018,False
036-350-008,2019,False
036-350-008,2020,False
036-350-008,2021,False
036-350-008,2022,False
036-350-008,2023,False
036-350-008,2024,False
036-350-008,2025,False
036-350-08,2012,True
036-350-08,2015,True
036-350-08,2016,True
036-350-08,2017,True
036-421-012,2016,True
036-421-012,2017,True
036-423-018,2024,True
036-423-018,2025,True
036-472-09,2013,True
036-530-28,2013,True
036-530-28,2014,True
036-543-011,2018,False
036-543-011,2019,False
036-543-011,2020,False
036-543-011,2021,False
036-543-011,2022,False
036-543-011,2023,False
036-543-011,2024,False
036-543-011,2025,False
036-543-11,2012,True
036-543-11,2014,True
036-543-11,2015,True
036-543-11,2016,True
036-543-11,2017,True
036-547-001,2017,True
036-563-014,2023,True
036-563-014,2024,True
036-563-014,2025,True
080-082-018,2024,True
080-082-018,2025,True
080-114-008,2017,True
080-155-011,2016,True
080-155-011,2017,True
080-155-024,2017,True
080-162-017,2019,True
080-162-017,2020,True
080-162-017,2021,True
080-162-017,2022,True
080-162-017,2023,True
080-162-017,2024,True
080-162-017,2025,True
080-163-003,2017,True
080-173-013,2023,True
080-173-013,2024,True
080-173-013,2025,True
080-192-033,2020,True
080-192-033,2021,True
080-192-033,2022,True
080-192-033,2023,True
080-192-033,2024,True
080-192-033,2025,True
081-064-016,2017,True
081-072-023,2017,True
081-102-006,2017,True
081-102-020,2016,True
081-102-020,2017,True
081-141-026,2016,True
081-141-026,2017,True
081-152-013,2016,True
081-152-013,2017,True
081-153-006,2016,True
081-153-006,2017,True
083-032-031,2017,True
083-032-031,2018,True
083-032-031,2019,True
083-032-031,2020,True
083-032-031,2021,True
083-032-031,2022,True
083-032-031,2023,True
083-032-031,2024,True
083-032-031,2025,True
083-032-032,2017,True
083-032-032,2018,True
083-032-032,2019,True
083-032-032,2020,True
083-032-032,2021,True
083-032-032,2022,True
083-032-032,2023,True
083-032-032,2024,True
083-032-032,2025,True
083-033-014,2017,True
083-033-014,2018,True
083-033-014,2019,True
083-033-014,2020,True
083-033-014,2021,True
083-033-014,2022,True
083-033-014,2023,True
083-033-014,2024,True
083-033-014,2025,True
083-061-026,2017,True
083-061-026,2018,True
083-061-026,2019,True
083-061-026,2020,True
083-061-026,2021,True
083-061-026,2022,True
083-061-026,2023,True
083-061-026,2024,True
083-061-026,2025,True
083-062-038,2021,True
083-062-038,2022,True
083-062-038,2023,True
083-062-038,2024,True
083-062-038,2025,True
083-063-007,2021,True
083-063-007,2022,True
083-063-007,2023,True
083-063-007,2024,True
083-063-007,2025,True
083-074-003,2019,True
083-074-003,2020,True
083-074-003,2021,True
083-074-003,2022,True
083-074-003,2023,True
083-074-003,2024,True
083-074-003,2025,True
083-075-037,2013,True
083-085-042,2013,True
083-151-030,2013,True
083-151-030,2014,True
083-201-002,2024,True
083-201-002,2025,True
083-202-012,2021,True
083-202-012,2022,True
083-202-012,2023,True
083-202-012,2024,True
083-202-012,2025,True
083-202-016,2013,True
083-202-016,2014,True
083-202-017,2013,True
083-202-017,2014,True
083-390-023,2017,True
083-390-023,2018,True
083-390-023,2019,True
083-390-023,2020,True
083-390-023,2021,True
083-390-023,2022,True
083-390-023,2023,True
083-390-023,2024,True
083-390-023,2025,True
084-052-010,2019,True
084-052-010,2020,True
084-052-010,2021,True
084-052-010,2022,True
084-052-010,2023,True
084-052-010,2024,True
084-052-010,2025,True
084-092-009,2017,True
084-092-009,2018,True
084-092-009,2019,True
084-092-009,2020,True
084-092-009,2021,True
084-092-009,2022,True
084-092-009,2023,True
084-092-009,2024,True
084-092-009,2025,True
084-092-016,2017,True
084-092-016,2018,True
084-092-016,2019,True
084-092-016,2020,True
084-092-016,2021,True
084-092-016,2022,True
084-092-016,2023,True
084-092-016,2024,True
084-092-016,2025,True
084-110-011,2017,True
084-110-011,2018,True
084-110-011,2019,True
084-110-011,2020,True
084-110-011,2021,True
084-110-011,2022,True
084-110-011,2023,True
084-110-011,2024,True
084-110-011,2025,True
084-110-014,2017,True
084-110-014,2018,True
084-110-014,2019,True
084-110-014,2020,True
084-110-014,2021,True
084-110-014,2022,True
084-110-014,2023,True
084-110-014,2024,True
084-110-014,2025,True
084-110-017,2017,True
084-110-017,2018,True
084-110-017,2019,True
084-110-017,2020,True
084-110-017,2021,True
084-110-017,2022,True
084-110-017,2023,True
084-110-017,2024,True
084-110-017,2025,True
084-151-029,2013,True
084-151-029,2014,True
084-151-030,2013,True
084-151-030,2014,True
084-172-005,2017,True
084-172-005,2018,True
084-172-005,2019,True
084-172-005,2020,True
084-172-005,2021,True
084-172-005,2022,True
084-172-005,2023,True
084-172-005,2024,True
084-172-005,2025,True
084-191-001,2020,True
084-191-001,2021,True
084-191-001,2022,True
084-191-001,2023,True
084-191-001,2024,True
084-191-001,2025,True
084-211-004,2021,True
084-211-004,2022,True
084-211-004,2023,True
084-211-004,2024,True
084-211-004,2025,True
085-050-045,2013,True
085-050-045,2014,True
085-180-017,2013,True
085-180-018,2013,True
085-343-024,2022,True
085-343-024,2023,True
085-343-024,2024,True
085-343-024,2025,True
090-030-035,2022,True
090-030-035,2023,True
090-030-035,2024,True
090-030-035,2025,True
090-030-044,2019,True
090-030-044,2020,True
090-030-044,2021,True
090-030-044,2022,True
090-030-044,2023,True
090-030-044,2024,True
090-030-044,2025,True
090-055-012,2024,True
090-055-012,2025,True
090-067-020,2025,True
090-071-034,2017,True
090-071-034,2018,True
090-071-034,2019,True
090-071-034,2020,True
090-071-034,2021,True
090-071-034,2022,True
090-071-034,2023,True
090-071-034,2024,True
090-071-034,2025,True
090-072-031,2016,True
090-072-032,2016,True
090-072-033,2016,True
090-072-034,2016,True
090-072-035,2016,True
090-072-036,2016,True
090-072-037,2016,True
090-072-038,2016,True
090-072-039,2016,True
090-072-040,2016,True
090-073-019,2021,True
090-073-019,2022,True
090-073-019,2023,True
090-073-019,2024,True
090-073-019,2025,True
090-074-012,2022,True
090-074-012,2023,True
090-074-012,2024,True
090-074-012,2025,True
090-074-027,2013,True
090-102-010,2021,True
090-102-010,2022,True
090-102-010,2023,True
090-102-010,2024,True
090-102-010,2025,True
090-123-006,2025,True
090-124-018,2018,True
090-124-018,2019,True
090-124-018,2020,True
090-124-018,2021,True
090-124-018,2022,True
090-124-018,2023,True
090-124-018,2024,True
090-124-018,2025,True
090-134-046,2018,True
090-134-046,2019,True
090-134-046,2020,True
090-134-046,2021,True
090-134-046,2022,True
090-134-046,2023,True
090-134-046,2024,True
090-134-046,2025,True
090-162-016,2021,True
090-162-016,2022,True
090-162-016,2023,True
090-162-016,2024,True
090-162-016,2025,True
090-172-004,2016,True
090-191-022,2024,True
090-191-022,2025,True
090-191-023,2024,True
090-191-023,2025,True
090-191-049,2021,True
090-191-050,2021,True
090-201-008,2021,True
090-201-008,2022,True
090-201-008,2023,True
090-201-008,2024,True
090-201-008,2025,True
090-222-051,2013,True
090-222-051,2014,True
090-222-060,2013,True
090-222-060,2014,True
090-222-060,2021,True
090-222-060,2022,True
090-222-060,2023,True
090-222-060,2024,True
090-222-060,2025,True
090-225-002,2023,True
090-225-002,2024,True
090-225-002,2025,True
090-231-036,2018,True
090-231-036,2019,True
090-231-036,2020,True
090-231-036,2021,True
090-231-036,2022,True
090-231-036,2023,True
090-231-036,2024,True
090-231-036,2025,True
090-232-026,2019,True
090-232-026,2020,True
090-232-026,2021,True
090-232-026,2022,True
090-232-026,2023,True
090-232-026,2024,True
090-232-026,2025,True
090-261-019,2021,True
090-261-019,2022,True
090-261-019,2023,True
090-261-019,2024,True
090-261-019,2025,True
090-262-013,2019,True
090-262-013,2020,True
090-262-013,2021,True
090-262-013,2022,True
090-262-013,2023,True
090-262-013,2024,True
090-262-013,2025,True
090-271-015,2019,True
090-271-015,2020,True
090-271-015,2021,True
090-271-015,2022,True
090-271-015,2023,True
090-271-015,2024,True
090-271-015,2025,True
090-292-003,2018,True
090-292-003,2019,True
090-292-003,2020,True
090-292-003,2021,True
090-292-003,2022,True
090-292-003,2023,True
090-292-003,2024,True
090-292-003,2025,True
090-321-006,2025,True
092-100-016,2023,True
092-100-016,2024,True
092-100-016,2025,True
092-120-007,2021,True
092-120-007,2022,True
092-120-007,2023,True
092-120-007,2024,True
092-120-007,2025,True
092-120-042,2021,True
092-120-042,2022,True
092-120-042,2023,True
092-120-042,2024,True
092-120-042,2025,True
092-142-010,2017,True
092-142-010,2018,True
092-142-010,2019,True
092-142-010,2020,True
092-142-010,2021,True
092-142-010,2022,True
092-142-010,2023,True
092-142-010,2024,True
092-142-010,2025,True
092-142-020,2017,True
092-142-020,2018,True
092-142-020,2019,True
092-142-020,2020,True
092-142-020,2021,True
092-142-020,2022,True
092-142-020,2023,True
092-142-020,2024,True
092-142-020,2025,True
092-152-015,2019,True
092-152-015,2020,True
092-152-015,2021,True
092-152-015,2022,True
092-152-015,2023,True
092-152-015,2024,True
092-152-015,2025,True
092-154-009,2023,True
092-154-009,2024,True
092-154-009,2025,True
092-160-032,2013,True
092-160-033,2013,True
092-190-052,2018,True
092-190-052,2019,True
092-190-052,2020,True
092-190-052,2021,True
092-190-052,2022,True
092-190-052,2023,True
092-190-052,2024,True
092-190-052,2025,True
092-190-053,2012,False
092-190-053,2013,False
092-190-053,2014,False
092-190-053,2015,False
092-190-053,2016,False
092-190-053,2017,False
092-190-053,2018,False
092-190-053,2019,False
092-190-053,2020,False
092-190-053,2021,False
092-190-053,2022,False
092-190-053,2023,False
092-190-053,2024,False
092-190-053,2025,False
092-200-009,2023,True
092-200-009,2024,True
092-200-009,2025,True
092-200-022,2023,True
092-200-022,2024,True
092-200-022,2025,True
092-234-012,2019,True
092-234-012,2020,True
092-234-012,2021,True
092-234-012,2022,True
092-234-012,2023,True
092-234-012,2024,True
092-234-012,2025,True
093-034-004,2021,True
093-034-004,2022,True
093-034-004,2023,True
093-034-004,2024,True
093-034-004,2025,True
093-042-021,2018,True
093-042-021,2019,True
093-042-021,2020,True
093-042-021,2021,True
093-042-021,2022,True
093-042-021,2023,True
093-042-021,2024,True
093-042-021,2025,True
093-042-022,2018,True
093-042-022,2019,True
093-042-022,2020,True
093-042-022,2021,True
093-042-022,2022,True
093-042-022,2023,True
093-042-022,2024,True
093-042-022,2025,True
093-042-029,2013,True
093-042-029,2014,True
093-042-032,2013,True
093-042-032,2014,True
093-042-037,2013,True
093-042-037,2014,True
093-042-038,2013,True
093-042-038,2014,True
093-083-008,2021,True
093-083-008,2022,True
093-083-008,2023,True
093-083-008,2024,True
093-083-008,2025,True
093-083-009,2021,True
093-083-009,2022,True
093-083-009,2023,True
093-083-009,2024,True
093-083-009,2025,True
093-083-010,2021,True
093-083-010,2022,True
093-083-010,2023,True
093-083-010,2024,True
093-083-010,2025,True
093-083-011,2021,True
093-083-011,2022,True
093-083-011,2023,True
093-083-011,2024,True
093-083-011,2025,True
093-083-012,2021,True
093-083-012,2022,True
093-083-012,2023,True
093-083-012,2024,True
093-083-012,2025,True
093-083-014,2021,True
093-083-014,2022,True
093-083-014,2023,True
093-083-014,2024,True
093-083-014,2025,True
093-083-015,2021,True
093-083-015,2022,True
093-083-015,2023,True
093-083-015,2024,True
093-083-015,2025,True
093-160-016,2018,True
093-160-016,2019,True
093-160-016,2020,True
093-160-016,2021,True
093-160-016,2022,True
093-160-016,2023,True
093-160-016,2024,True
093-160-016,2025,True
093-194-007,2017,True
093-194-007,2018,True
093-194-007,2019,True
093-194-007,2020,True
093-194-007,2021,True
093-194-007,2022,True
093-194-007,2023,True
093-194-007,2024,True
093-194-007,2025,True
093-194-012,2017,True
093-194-012,2018,True
093-194-012,2019,True
093-194-012,2020,True
093-194-012,2021,True
093-194-012,2022,True
093-194-012,2023,True
093-194-012,2024,True
093-194-012,2025,True
094-032-004,2021,True
094-032-004,2022,True
094-032-004,2023,True
094-032-004,2024,True
094-032-004,2025,True
094-102-024,2013,True
094-102-024,2014,True
094-110-007,2014,True
094-110-007,2015,True
094-110-007,2016,True
094-110-007,2017,True
094-110-007,2018,True
094-110-007,2019,True
094-110-007,2020,True
094-110-007,2021,True
094-110-007,2022,True
094-110-007,2023,True
094-110-007,2024,True
094-110-007,2025,True
094-122-001,2022,True
094-122-001,2023,True
094-122-001,2024,True
094-122-001,2025,True
094-122-019,2017,True
094-122-019,2018,True
094-122-019,2019,True
094-122-019,2020,True
094-122-019,2021,True
094-122-019,2022,True
094-122-019,2023,True
094-122-019,2024,True
094-122-019,2025,True
094-122-058,2013,True
094-122-058,2014,True
094-140-067,2013,True
094-140-067,2014,True
094-171-010,2013,True
094-171-010,2014,True
094-171-011,2013,True
094-171-011,2014,True
094-173-005,2021,True
094-173-005,2022,True
094-173-005,2023,True
094-173-005,2024,True
094-173-005,2025,True
094-173-021,2021,True
094-173-021,2022,True
094-173-021,2023,True
094-173-021,2024,True
094-173-021,2025,True
094-200-049,2023,True
094-200-049,2024,True
094-200-049,2025,True
094-233-004,2022,True
094-233-015,2013,True
094-233-015,2014,True
094-233-016,2013,True
094-233-016,2014,True
094-300-011,2017,True
094-300-011,2018,True
094-300-011,2019,True
094-300-011,2020,True
094-350-021,2017,True
094-350-021,2018,True
094-350-021,2019,True
094-350-021,2020,True
094-350-021,2021,True
094-350-021,2022,True
095-110-006,2021,True
095-110-006,2022,True
095-110-006,2023,True
095-110-006,2024,True
095-110-006,2025,True
095-130-007,2018,True
095-130-007,2019,True
095-130-007,2020,True
095-130-007,2021,True
095-130-007,2022,True
095-130-007,2023,True
095-130-007,2024,True
095-130-007,2025,True
095-510-035,2013,True
097-050-043,2024,True
097-050-043,2025,True
097-073-032,2025,True
097-084-025,2013,True
097-092-003,2017,True
097-092-003,2018,True
