Permit #,Parcel #,Record Type,Project Name,Status,Opened,Number,Dir,Street Name,Type,Description,Project Office,Type of Work,Scope of Work,Issue Date,Base Allowable Coverage,Total Existing Coverage,Total Allowable Coverage,Total Proposed Coverage,Excess Coverage,Remaining Coverage,Transferred Coverage,New On-Site Coverage,Existing Off-Site Cov.,New Off-site Coverage,Coverage Exemp. Allow.,Coverage Exemption Taken,Deck Exemption Allowed,Deck Exemption Taken(sf),Pervious Coverage,Non Permanent Structure,Allocation,Allocation Number,Project/Parcel Size,Bailey Land Class(es),IPES,Coverage Percent,SEZ,Scenic,Historic Resource,Historic Resource (Date),Date Issued,PreGrade Inspection Date,Date Final Inspection,Date Completed,Payment for Application Fee,Payment for Security,Payment for WQMF,Payment for AQMF,Payment for OSMF,Payment for ECMF,SERV_PROV_CODE,B1_PER_ID1,B1_PER_ID2,B1_PER_ID3
TRP23-90041,092-084-001-000,Residential Building TRPA Project,Chalon - Addition (Permit to Final TRP14-90044),Issued,5/11/2023,3830,,DINAH,RD,"Permit to final expired permit TRP14-90044 (docs are in OnBase).


Required inspections: 1) Shower Pan;  2) Final and TRPA Final.",Tahoe,Addition,Residential Addition > 3000,12/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,004Y1
TRP23-90044,083-230-077-000,Residential Verification-Site Assessment,Gogolewski Coverage Verification,Complete,5/15/2023,1880,,WASHOE,WY,"PARTIAL

Seeking coverage verification for 1880 Washoe Way - see submission letter for details",Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,0052M
TRP23-90045,090-315-013-000,Residential Building TRPA Project,Beaty -  Addition/Remodel,Issued,5/15/2023,9927,,WAVE,AVE,"TRPA MOU PROJECT 

Remove and rebuild garage with office above and attach to main residence. Remodel kitchen, new hot tub deck, shed, install BMPs.

Living area-------------------------1244 sf
Garage-------------------------------630 sf
Alteration/Remodel---------------428 sf
Storage/Shed/Shop--------------180 sf
Uncovered Deck/Porch---------178 sf
Kitchen Remodel/Addition - 1
Bathroom Remodel/Addition - 2
Half Bathroom Remodel/Addition - 1

Voluntary Merger PLN23-00251, approved and recorded 7/18/2023


REVISION 10/5/23: Modify front face of proposed garage; modify proposed kitchen addition to rear of existing residence; several minor window modifications; update all structural plans to sync with modifications. -TAL",Tahoe,Addition,Residential Addition > 3000,7/21/2023,,7071,5085,6944,1986,127,0,-127,470,-60,2542,No,750,0,0,0,N/A,,25424,,,20,no,no,No,1/1/1947,,08/11/2023,,,"$1,483.95","$2,500.00",,,,$717.19,PLACERCO,23CAP,00000,0052P
TRP23-90049,083-032-033-000,Residential Building TRPA Project,Gaylord - Deck Repair/Rebuild  ***PAPER FILE***,Issued,5/24/2023,1830,,TAHOE PARK HEIGHTS,DR,"TRPA MOU QE

Replace deck damaged from snow, for like and kind, no change in coverage.

Deck-------------------500sf",Tahoe,Rebuild,Residential Rebuild,7/19/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$37.66,,,,,,PLACERCO,23CAP,00000,005FN
TRP23-90052,090-121-013-000,Residential Verification-Site Assessment,Estrada PRU verification,Complete,5/26/2023,0,,TROUT,AVE,PRU verification for lots 42 and 43,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,PLACERCO,23CAP,00000,005JM
TRP23-90055,098-074-007-000,Residential Building TRPA Project,Guerra - Deck Rebuild/Addition,Final Processing,6/1/2023,6255,,FLICKER,AVE,"TRPA MOU PROJECT

REBUILD THE EXISTING DECK WITH ADDITION. THE NEW DECK WILL INCLUDE STAIRS TO A LARGER PARKING AREA.

Uncovered Deck------------------------------1361 sf

Structural Observation Required",Tahoe,Addition,Residential Addition > 3000,,,2316,2868,2868,0,0,0,552,378,-43,1148,Yes,574,221,0,0,N/A,,11475,,,25,no,"roadway #10, not visible",No,1/1/1991,,,,,,,,,,,PLACERCO,23CAP,00000,005PU
TRP23-90058,111-160-011-000,Residential Building TRPA Project,Mertz - Deck Rebuild & Addition,Final Processing,6/5/2023,1335,,CANTERBURY,DR,"The rear deck is to be rebuilt and extended. A recessed hot tub will be added to the extended portion.

Deck Addition--306 SF
Deck Rebuild--333
1 HOT TUB",Tahoe,Addition,Residential Addition > 3000,,,2159,2849,2379,0,470,0,220,264,264,2147,No,,0,0,0,N/A,,21469,,,23,N/A,no,No,,,,,,,,,,,,PLACERCO,23CAP,00000,005VH
TRP23-90059,083-033-004,Residential Building TRPA Project,Werner Deck Addition,Issued,6/5/2023,1885,,TAHOE PARK HEIGHTS,DR,"TRPA MOU PROJECT

Replace upper rear deck, relocate spa to new deck in rain shadow of upper deck, reconfigure rear gable windows.

Deck Rebuild------------------------294sf
Deck Addition------------------------221sf
- Verified by BJ 8/2/23

Special Inspection Required for Field Welding and High-Strength Bolting",Tahoe,Addition,Residential Addition > 3000,9/13/2023,,2064,457,2064,1607,0,0,0,665,0,0,N/A,0,0,0,0,N/A,,45670,,,1,no,no,No,,,,,,$42.43,"$2,500.00",,,,$318.75,PLACERCO,23CAP,00000,005VZ
TRP23-90060,094-330-005-000,Residential Building Qualified Exempt,Tahoe Tavern Unit #103 Deck Rebuild,Issued,6/7/2023,300,W,LAKE,BLVD,"TRPA QE AT TRPA

THE REAR DECKS OF THIS UNIT WERE STRUCTURALLY DAMAGED DURING THE WINTER DUE TO SNOW LOADS. THE REAR DECKS WILL BE REBUILT TO MATCH EXISTING.

Rebuild Decks (2 x 160 sf) ---------------------------------320 SF",Tahoe,QE Repair,Residential Rebuild,7/6/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$27.72,,,,,,PLACERCO,23CAP,00000,005Y9
TRP23-90061,094-370-020-000,Residential Building Qualified Exempt,Tahoe Tavern Unit #110 Deck Rebuild,Issued,6/7/2023,300,W,LAKE,BLVD,"TRPA QE AT TRPA

THE REAR DECKS OF THIS UNIT WERE STRUCTURALLY DAMAGED DURING THE WINTER DUE TO SNOW LOADS. THE REAR DECKS WILL BE REBUILT TO MATCH EXISTING.

Rebuild Decks (3 x 180 sf) ---------------------------------540 SF",Tahoe,QE Repair,Residential Rebuild,7/6/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$40.67,,,,,,PLACERCO,23CAP,00000,005YA
TRP23-90062,090-141-004-000,Residential Building Qualified Exempt,Stellar Nevada - QE Demo,Issued,6/7/2023,8656,,BROCKWAY VISTA,AVE,"TRPA SHOREZONE DEMO @ TRPA (QEXE2023-0350)

Demolition of existing 925 S.F. residential building and 676 S.F. deck for pending residential project.",Tahoe,QE Demo,Demolition Residential Dwelling,8/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,005ZL
TRP23-90064,084-191-003-000,Residential Building Qualified Exempt,MCCLATCHY - ROOF REBUILD,Issued,6/12/2023,2400,W,LAKE,BLVD,"TRPA QE @ MOU

Rebuild roof that was damaged by the snow.",Tahoe,QE Repair,Repair,9/28/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$52.50,,,,,,PLACERCO,23CAP,00000,0064Q
TRP23-90065,083-350-031-000,Residential Building Qualified Exempt,Kearney - Chimney & Splitter Rebuild,Issued,6/13/2023,391,,TAHOE WOODS,BLVD,"TRPA QE @ MOU- Exterior repair

Rebuild snow damaged chimney and splitter, like-for-like. No change in coverage or floor area.

REVISION 1/9/24: CHANGING OUT GAS FIREPLACE WITH ELECTRIC FIREPLACE. -TAL",Tahoe,QE Repair,Repair,7/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,,,,,,PLACERCO,23CAP,00000,00685
TRP23-90068,093-340-011-000,Residential Verification-Site Assessment,Chambery - site assessment,Complete,6/14/2023,942,,COUNTRY CLUB,DR,site assessment for potential remodel + extension (add 1 master bedroom),Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,PLACERCO,23CAP,00000,006DI
TRP23-90067,092-170-022-000,Residential Building TRPA Project,HABURJAK - ADDITION / REMODEL,Issued,6/16/2023,650,,SHAMROCK,RD,"TRPA Project @ MOU

Relocate heater from under residence to above deck in mechanical closet, game room addition on second level, stairs and stoop addition.

Add 28 sq foot mechanical room
Add 15 sq foot stairs to existing deck
Add 90 sq foot game room 
Remodel 30 sq foot of existing.

Special inspection for shear nailing",Tahoe,Addition,Residential Addition > 3000,9/26/2023,,3391,4082,2314,0,1768,0,0,530,0,1361,Yes,680,550,0,0,N/A,,13607,,,30,0,no,No,01/01/1957,,,,,$97.75,"$2,500.00",,,,,PLACERCO,23CAP,00000,006BM
TRP23-90069,111-160-029-000,Residential Verification-Site Assessment,Harrison - Site Assessment,Complete,6/20/2023,1275,,CANTERBURY,DR,Complete residential site assessment for the Harrison residence.,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,PLACERCO,23CAP,00000,006EB
TRP23-90070,083-061-062-000,Residential Building TRPA Project,FREY - ADDITION / REMODEL,Issued,6/20/2023,1584,,PINE,AVE,"TRPA MOU PROJECT

Interior remodel----------------------495 SF
Living Area----------------------------276 SF
Uncovered Deck---------------------163 SF
Remodel  2 Bathrooms

Additional area remodeled requires a permit revision

625: SPA - 1

Deferred Submittal: Truss Calcs and Gas Schematic",Tahoe,Addition,Residential Addition > 3000,9/28/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/05/2023,,,$988.69,"$2,500.00",,,,,PLACERCO,23CAP,00000,006F0
TRP23-90084,111-110-042-000,Residential Building TRPA Project,Rawlings - Deck Re-Construction & Extension,Issued,6/21/2023,7640,,FOREST GLENN,DR,"TRPA Project @ MOU

1.	DEMOLITION OF EXISTING REAR UPPER LEVEL DECK AND STAIRS.

2.	RE-CONSTRUCTION OF REAR UPPER LEVEL DECK WITH EXTENSION----524 SF

11/20/23: Alternate materials request received.  AMMR approved 1/19/24.  SA.",Tahoe,Addition,Residential Addition > 3000,2/1/2024,,1950,2296,2074,0,484,0,124,250,11,949,Yes,474,263,0,0,N/A,,13080,,,"5%, 20%, 25%",0,#14 in attainment,No,01/01/1995,,,,,$39.47,"$2,500.00",$230.64,,$93.50,,PLACERCO,23CAP,00000,006UW
TRP23-90077,083-380-035-000,Residential Building TRPA Project,Larkins Addition,Final Processing,6/24/2023,2105,,WOODLEIGH,RD,"Need GEO soils report at Foundation
Struc Calcs was corrupted, waiting for new file 9-11-23

TRPA Project @ MOU

Addition/remodel 

ADDITION:

LIVING--------------------------------------1601 SF
STORAGE -----------------------------------35 SF",Tahoe,Addition,Residential Addition > 3000,,,1197,2734,2734,0,0,0,1537,108,37,1094,Yes,547,,274.5,N/A,N/A,,10936,,,25,N/A,N/A,No,01/01/1979,,,,,,,,,,,PLACERCO,23CAP,00000,006OS
TRP23-90074,093-083-051-000,Residential Building TRPA Project,Lee - Addition,Final Processing,6/27/2023,3420,,EDGEWATER,DR,"TRPA MOU PROJECT 
TRPA approved Placer to Review, see uploaded email.

Bathroom addition with master bedroom remodel (non lake side)

Addition/ Living----------------66sf
Remodel------------------------48sf

REVISIONS: coverage change to negate exemption use. 9 SF reduction to existing dirt path. 2/8/2024 GG",Tahoe,Addition,Residential Addition > 3000,,,2980,1695,2980,1285,0,0,0,366,0,636,Yes,318,9,0,0,N/A,,16709,,,,yes,"shoreline #16, visible",No,1/1/1973,,,,,,,,,,,PLACERCO,23CAP,00000,006MN
TRP23-90076,090-192-008-000,Residential Verification-Site Assessment,Papaleo - Site Assessment,Received,6/28/2023,8856,,MINNOW,AVE,Complete Site Assessment,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,PLACERCO,23CAP,00000,006OF
TRP23-90078,094-090-065-000,Non-Residential Verification-Site Assessment,Boatworks Mall,Received,7/3/2023,760,N,LAKE,BLVD,"Commercial Floor Area and Coverage Verification, See cover letter for full details",Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,006SC
TRP23-90079,094-090-042-000,Non-Residential Verification-Site Assessment,Commercial Condos Building - CFA Verification,Received,7/3/2023,,,,,"Commercial floor area verification , please see cover letter for detailed description",Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,006SD
TRP23-90080,094-090-001-000,Non-Residential Verification-Site Assessment,Tahoe City Inn - TAU Verification,Received,7/3/2023,790,N,LAKE,BLVD,"Tourist Accommodation Unit Verification request, see cover letter for detail description",Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,006SI
TRP23-90081,094-240-010-000,Non-Residential Qualified Exempt,NEW MOON SNOW DAMAGE ROOF REPAIR *PAPER PLANS*,Issued,7/5/2023,505,W,LAKE,BLVD,"TRPA MOU QE

repair of covered walkway, like for like, no change in coverage and colors.

Accessibility addressed with walkway slope",Tahoe,QE Repair,Repair External Damage,9/26/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/06/2023,,,,,,,,,PLACERCO,23CAP,00000,006TL
TRP23-90082,098-101-002-000,Residential Building TRPA Project,Baxter - Addition,Final Processing,7/5/2023,340,,SNOW BIRD,,"TRPA MOU Project 

Convert carport to garage and existing deck above to living space. The existing driveway is to be widened to 12 feet per NTFPD.

Alteration Remodel-----------------459 SF
Living Area----------------------------486 SF
Garage/Storage---------------------599 SF
Uncovered Deck--------------------140 SF
(Verified - BJ 8-8-23)

Remodel Kitchen and 2 Bathrooms",Tahoe,Addition,Residential Addition > 3000,,,3986,665,3986,3321,0,0,0,194,56,NO,,,,,,N/A,,17701,,,1% and 5%,0,no,No,01/01/1967,,,,,$879.50,"$2,500.00",,,$476.00,$664.06,PLACERCO,23CAP,00000,006TQ
TRP23-90087,117-190-061-000,Residential Building TRPA Project,Thrams - SFD,Final Processing,7/7/2023,515,,MIDIRON,AVE,"TRPA MOU Project 

SFD, Garage, Decks 

Living-----------------------------------1866 sf
Garage/Storage-----------------------754 sf
Uncovered Deck----------------------252 sf


Special Inspection required for shop field welding, trusses spanning 60"" or more, and seismic (shear nailing 4""oc or less) 

Truss Calcs will be deferred

QII Required

Solar PV Requirement Exempted (Solar Access) - to be verified at frame inspection",Tahoe,New,Single Family > 3000,,,0,1799,1799,0,0,189,1799,0,207,619,Yes,310,0,109,60,Assigned,xxx,6191,,,786,0,"Map maker down when reviewing,  one block off N Lake, not visitble",No,,,,,,,,,,,,PLACERCO,23CAP,00000,006WL
TRP23-90088,116-040-021-000,Residential Verification-Site Assessment,Vo - Site Assessment,Complete,7/11/2023,650,,AGATE,RD,Site Assessment,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,PLACERCO,23CAP,00000,00703
TRP23-90089,092-222-007-000,Residential Building Qualified Exempt,THAYER - ADDITION,Issued,7/12/2023,3660,,LACROSSE,DR,"TRPA MOU QE

Addition----------------------313sf
Remodel---------------------913sf
 
Interior remodel and after-the fact permitting of conversions to living space of an existing single-family residence.
Remodel of kitchen, all bathrooms + modification of some interior non-structural walls. 
All windows replaced.",Tahoe,QE Structural Addition,Residential Addition > 3000,12/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$793.30,,,,,,PLACERCO,23CAP,00000,00726
TRP23-90090,112-240-006-000,Residential Building TRPA Project,Debost - Deck Addition,Issued,7/13/2023,1115,,REGENCY,WY,"TRPA MOU Project

Deck and Stair Rebuild/Addition

Uncovered Deck/Porch--------------------------611 sf

Garage door modification moved to permit BLD23-06002",Tahoe,Rebuild,Residential Rebuild,3/26/2024,,3445,4137,3272,0,865,0,0,212,0,1379,Yes,689,434,0,0,N/A,,13789,,,30,no,"roadway #41, in attainment, not visible",No,1/1/1980,,,,,$50.34,"$2,500.00",,,,,PLACERCO,23CAP,00000,0072W
TRP23-90091,084-132-003-000,Residential Building TRPA Project,Long Paddle - ADDITION,Issued,7/14/2023,2570,W,LAKE,BLVD,"TRPA @ TRPA

Demo Garage and Rebuild with Living Space above

Living------------------1,495sf
Garage/storage--------882sf

Special Inspection required for shop and field welding

Structural Observation Required

REVISION - ENTRY CORRIDOR EXPANDED, MECHANICAL ROOM ADDED TO WEST END OF GARAGE, ROOF AND GRADING & DRAINAGE UPDATED TO SUPPORT NEW FOOTPRINT. RGH 10/26/2023

REVISION-garage upper level--minor floor plan revisions with some minor structural posts to support. Entry columns relocated. Revisions clouded as: delta 5, 7 and 8 on Architectual sheets and delta 2 on structural sheets. 3/7/2024 GG",Tahoe,Rebuild,Residential Rebuild,9/12/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,590.40",,,,,,PLACERCO,23CAP,00000,0074H
TRP23-90095,115-060-009-000,Residential Building TRPA Project,Walsh - Storage Addition & Rebuild of Stairs + EV Charger Install,Final Processing,7/22/2023,4798,N,LAKE,BLVD,"TRPA Project @ TRPA - SHOREZONE (ERSP2022-1845)

Storage---------------99sf
Deck/ Stairs---------49sf

THE PROJECT ENTAILS THE IN-KIND RECONSTRUCTION OF THE EXISTING EXTERIOR STAIRS LEADING TO THE LAKESIDE PIER, AND THE ADDITION OF A 99 SF ENCLOSED STORAGE AREA ABOVE THE EXISTING STAIRWELL TO BE CONSTRUCTED ADJACENT TO THE EXISTING PARKING PAD. REPLACEMENT OF THE EXISTING PARKING PAD CONCRETE OVERLAY.  NO ADDITIONAL COVERAGE IS PROPOSED FOR THIS PROJECT AS THE ENCLOSED STORAGE AREA WILL BE BUILT OVER THE EXISTING STAIRWELL ROOF.

Installation of new EV Charger.",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,007DJ
TRP23-90096,083-350-036-000,Residential Building TRPA Project,Tahoe Woods Trust - New SFD,Issued,7/24/2023,394,,TAHOE WOODS,BLVD,"TRPA Project @ MOU

New SFD

Living Area----------------------------------------------------2,708 sf
Garage-----------------------------------------------------------558 sf
Uncovered Deck/Porch--------------------------------------602 sf

Deferred submittal: Solar; which will be on separate permit.",Tahoe,New,Single Family > 3000,10/2/2023,,0,1799,1799,0,0,7,1799,0,334,853,Yes,427,336,113,0,Assigned,PL-16-0-27,8533,,,21%,0,na,N/A,,,10/03/2023,,,"$2,468.48","$3,500.00","$3,333.12",,"$2,839.00",,PLACERCO,23CAP,00000,007EJ
TRP23-90097,094-090-041-000,Non-Residential Qualified Exempt,Wolfdale's Restaurant - Exterior Stair Rebuild,Issued,7/24/2023,640,N,LAKE,BLVD,"TRPA MOU QE

REPLACE (E) STAIR & LANDING DAMAGED FROM SNOW. STRUCTURAL WORK ONLY, NO CHANGE TO COVERAGE.",Tahoe,QE Repair,Deck Replacement,2/23/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,007FA
TRP23-90106,084-102-005-000,Residential Building TRPA Project,Fooy - Addition,Corrections Required,8/3/2023,390,,CHINQUAPIN,LN,"TRPA Project @ MOU

New Deck - 392 sq.ft.
New Garage - 564 sq.ft.
New Living area - 1,904 sq.ft.
New Living Area: Description: New ground floor living area, 396 sq.ft., New 2nd floor living area 960 sq.ft., New loft 396 sq.ft. for a total living area of 1,904.00
New covered porch 32 sq.ft.
A new permiable paver driveway of 640 sq.ft.
Remodel of existing structure - 
Ground floor Addition 76 sq.ft 
2nd floor Addition 76 sq.ft.

Tie into the existing: Water service, sewer service, running new storm water drain.
Upgrading the electrical service.

QII Required",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,007U0
